datetime,temp23,humi23,temp24,humi24
20230209_000001,-4.4,78.1,-1.7,74.2
20230209_001501,-4.5,77.8,-1.8,74.4
20230209_003001,-4.6,78.1,-1.8,74.5
20230209_004501,-4.6,77.4,-1.9,74.6
20230209_010001,-4.8,78.4,-2.0,74.6
20230209_011501,-4.9,79.0,-2.1,74.7
20230209_013001,-5.0,79.6,-2.1,74.9
20230209_014501,-5.2,80.4,-2.1,74.8
20230209_020001,-5.2,80.7,-2.2,74.7
20230209_021501,-5.4,81.0,-2.3,74.8
20230209_023002,-5.6,81.3,-2.3,74.7
20230209_024501,-5.6,81.7,-2.4,74.6
20230209_030001,-5.7,81.8,-2.5,74.6
20230209_031502,-5.8,81.8,-2.5,74.7
20230209_033001,-6.0,82.1,-2.6,74.7
20230209_034501,-6.0,82.3,-2.7,74.7
20230209_040002,-6.1,82.4,-2.8,74.8
20230209_041501,-6.2,82.6,-2.8,74.7
20230209_043001,-6.3,82.5,-2.9,74.7
20230209_044502,-6.5,82.9,-3.0,74.9
20230209_050001,-6.5,83.1,-3.0,74.9
20230209_051501,-6.6,83.2,-3.1,75.0
20230209_053002,-6.7,83.6,-3.2,74.9
20230209_054501,-6.8,83.6,-3.2,75.1
20230209_060001,-7.0,84.1,-3.3,75.2
20230209_061502,-6.9,83.6,-3.3,75.2
20230209_063001,-7.0,83.9,-3.4,75.4
20230209_064501,-7.1,84.1,-3.5,75.5
20230209_070001,-7.1,83.7,-3.5,75.5
20230209_071501,-7.1,84.2,-3.6,75.7
20230209_073001,-7.1,83.2,-4.0,74.1
20230209_074501,-7.3,83.1,-3.7,74.7
20230209_080001,-7.3,83.3,-3.7,75.3
20230209_081501,-7.3,83.4,-3.7,75.4
20230209_083001,-7.3,83.1,-3.8,75.5
20230209_084502,-7.1,82.4,-3.8,75.7
20230209_090001,-6.6,81.1,-3.8,76.1
20230209_091501,-6.4,81.1,-3.8,76.5
20230209_093002,-5.8,77.7,-3.6,76.5
20230209_094501,-5.9,78.5,-3.6,76.5
20230209_100001,-5.1,77.5,-3.4,76.4
20230209_101502,-2.4,69.8,-3.1,75.9
20230209_103001,0.3,60.6,-2.6,75.0
20230209_104501,2.5,54.6,-2.2,74.2
20230209_110002,2.4,53.2,-2.1,73.1
20230209_111501,2.3,52.2,-1.8,72.9
20230209_113001,2.1,54.3,-1.6,72.4
20230209_114502,2.5,51.1,-1.4,72.2
20230209_120001,2.3,51.1,-1.3,71.9
20230209_121501,2.1,50.5,-1.1,71.8
20230209_123002,1.8,52.2,-1.0,72.1
20230209_124501,1.6,52.2,-1.0,72.5
20230209_130001,1.5,54.3,-0.9,71.8
20230209_131502,1.4,55.3,-0.8,72.3
20230209_133001,1.4,59.4,-0.7,73.0
20230209_134501,1.5,60.5,-0.6,73.2
20230209_140001,1.5,58.8,-0.5,73.5
20230209_141501,1.6,60.1,-0.4,73.4
20230209_143001,1.6,59.8,-0.3,73.0
20230209_144501,1.7,59.9,-0.2,73.1
20230209_150001,1.7,62.7,-0.1,72.7
20230209_151501,1.6,62.1,0.0,72.5
20230209_153001,1.6,61.2,0.0,72.9
20230209_154501,1.7,61.7,0.0,73.6
20230209_160001,1.5,64.4,0.2,73.5
20230209_161501,1.4,63.1,0.2,74.0
20230209_163002,1.4,63.4,0.2,74.5
20230209_164501,1.2,64.2,0.2,74.7
20230209_170001,1.2,64.3,0.1,75.0
20230209_171502,1.0,65.4,0.1,75.1
20230209_173001,0.8,66.5,0.0,75.4
20230209_174501,0.4,67.8,0.0,75.6
20230209_180002,0.2,69.1,0.0,75.7
20230209_181501,0.0,71.5,0.0,75.9
20230209_183001,-0.1,72.7,-0.1,76.0
20230209_184502,-0.3,73.3,-0.1,76.1
20230209_190001,-0.5,73.4,-0.2,76.2
20230209_191501,-0.6,73.6,-0.2,76.2
20230209_193002,-0.8,73.9,-0.2,76.3
20230209_194501,-0.9,74.4,-0.2,76.4
20230209_200001,-1.1,74.6,-0.3,76.5
20230209_201502,-1.3,74.9,-0.3,76.4
20230209_203001,-1.4,75.1,-0.3,76.6
20230209_204501,-1.5,75.5,-0.4,76.7
20230209_210002,-1.6,75.7,-0.4,76.7
20230209_211501,-1.8,75.8,-0.5,76.9
20230209_213001,-1.9,76.1,-0.6,77.0
20230209_214501,-2.1,76.4,-0.6,77.0
20230209_220001,-2.2,76.5,-0.7,77.2
20230209_221501,-2.3,76.8,-0.7,77.2
20230209_223001,-2.4,77.0,-0.7,77.3
20230209_224501,-2.5,77.2,-0.8,77.4
20230209_230001,-2.7,77.5,-0.9,77.5
20230209_231501,-2.8,77.7,-0.9,77.5
20230209_233001,-2.9,78.1,-1.0,77.6
20230209_234501,-3.1,77.8,-1.1,77.6
