datetime,temp23,humi23,temp24,humi24
20230424_000001,13.1,72.3,15.3,71.4
20230424_001501,13.1,72.2,15.2,71.9
20230424_003001,13.1,72.3,15.0,72.3
20230424_004501,13.0,72.6,14.9,72.8
20230424_010001,12.8,73.3,14.8,72.9
20230424_011501,12.6,73.8,14.7,73.0
20230424_013001,12.5,74.1,14.5,73.2
20230424_014501,12.3,74.4,14.4,73.4
20230424_020001,12.1,74.4,14.3,73.6
20230424_021501,12.0,74.4,14.3,73.5
20230424_023001,11.9,74.4,14.2,73.7
20230424_024501,11.7,75.0,14.1,73.8
20230424_030001,11.7,75.5,14.0,73.8
20230424_031501,11.5,75.7,13.9,73.9
20230424_033001,11.4,75.7,13.9,74.1
20230424_034502,11.3,76.3,13.7,74.1
20230424_040001,11.3,76.0,13.6,74.0
20230424_041501,11.0,76.2,13.5,74.0
20230424_043002,11.0,77.0,13.5,74.1
20230424_044501,10.9,76.6,13.3,74.1
20230424_050001,10.7,76.7,13.3,74.0
20230424_051502,10.6,76.8,13.1,74.3
20230424_053001,10.5,77.5,13.1,74.3
20230424_054501,10.4,77.6,13.0,74.6
20230424_060002,10.3,77.7,13.0,74.7
20230424_061501,10.2,78.3,12.9,74.8
20230424_063001,10.2,78.0,12.8,75.1
20230424_064501,10.1,78.2,12.7,75.3
20230424_070001,10.0,78.9,12.6,75.6
20230424_071501,10.0,78.7,12.5,75.5
20230424_073001,10.0,78.7,12.5,75.7
20230424_074502,10.0,78.7,12.5,75.6
20230424_080001,10.0,78.1,12.1,76.2
20230424_081501,10.0,78.3,12.2,75.7
20230424_083002,10.1,77.6,12.2,75.7
20230424_084501,10.2,77.2,12.2,75.7
20230424_090001,10.3,77.5,12.2,75.6
20230424_091502,10.7,75.5,12.2,75.5
20230424_093001,11.1,74.2,12.2,75.0
20230424_094501,10.9,74.7,12.2,74.5
20230424_100002,10.8,74.7,12.2,74.4
20230424_101501,11.0,74.2,12.2,74.1
20230424_103001,11.0,73.9,12.2,74.1
20230424_104502,10.9,73.9,12.1,74.2
20230424_110001,10.8,74.7,12.1,74.7
20230424_111501,11.0,71.4,12.1,73.8
20230424_113002,11.0,72.1,12.1,73.0
20230424_114501,11.3,70.8,12.1,72.3
20230424_120001,11.5,68.7,12.1,71.0
20230424_121502,11.8,64.4,12.2,70.4
20230424_123001,12.0,64.8,12.3,69.7
20230424_124501,12.2,65.1,12.3,69.4
20230424_130001,12.2,65.3,12.4,69.5
20230424_131501,11.2,71.3,12.2,72.3
20230424_133001,11.9,70.4,12.3,73.0
20230424_134501,12.2,69.6,12.3,74.1
20230424_140001,12.4,68.0,12.4,73.6
20230424_141501,13.0,65.9,12.5,73.3
20230424_143001,13.0,63.1,12.5,72.6
20230424_144501,13.3,62.5,12.6,71.2
20230424_150001,13.7,58.2,12.8,69.3
20230424_151502,13.4,59.1,12.9,68.2
20230424_153001,13.1,62.8,12.9,68.5
20230424_154501,13.8,59.1,13.0,68.5
20230424_160001,13.8,56.1,13.1,67.2
20230424_161501,14.0,54.3,13.1,66.2
20230424_163001,13.9,55.4,13.3,64.5
20230424_164501,14.2,54.8,13.3,64.8
20230424_170001,14.1,51.6,13.3,58.7
20230424_171501,14.4,52.1,13.5,60.7
20230424_173001,14.3,53.8,13.6,60.2
20230424_174501,14.4,52.0,13.6,60.7
20230424_180001,14.3,50.5,13.6,60.8
20230424_181501,14.3,53.3,13.6,60.3
20230424_183002,14.0,49.1,13.6,58.9
20230424_184501,14.0,53.6,13.6,60.6
20230424_190001,13.8,53.5,13.5,59.4
20230424_191501,13.7,53.8,13.4,59.1
20230424_193001,13.5,50.1,13.3,59.1
20230424_194501,13.2,50.2,13.3,58.9
20230424_200002,13.0,54.1,13.2,58.7
20230424_201501,12.8,54.6,13.1,58.6
20230424_203001,12.5,56.1,13.0,59.4
20230424_204502,12.3,57.1,12.9,60.3
20230424_210001,12.0,58.2,12.8,61.1
20230424_211501,11.7,59.2,12.7,62.2
20230424_213002,11.4,60.4,12.5,63.1
20230424_214501,11.2,61.3,12.5,63.8
20230424_220001,10.9,62.3,12.3,64.5
20230424_221502,10.6,63.2,12.2,64.6
20230424_223001,10.3,64.1,12.0,64.8
20230424_224501,10.1,64.2,11.9,65.2
20230424_230002,10.0,65.0,11.9,65.7
20230424_231501,9.9,65.4,11.7,66.0
20230424_233001,9.7,66.1,11.6,66.4
20230424_234502,9.5,66.7,11.5,66.5
