datetime,temp23,humi23,temp24,humi24
20230327_000001,6.3,71.1,7.5,71.5
20230327_001501,6.1,71.5,7.5,71.6
20230327_003001,6.1,71.6,7.5,71.5
20230327_004501,5.9,72.1,7.5,71.7
20230327_010001,5.9,71.7,7.4,71.7
20230327_011502,5.9,72.2,7.3,71.8
20230327_013001,5.8,72.2,7.3,72.0
20230327_014501,5.6,72.5,7.2,72.1
20230327_020001,5.5,72.8,7.2,72.2
20230327_021501,5.5,73.0,7.1,72.2
20230327_023001,5.3,73.4,7.0,72.3
20230327_024501,5.3,73.6,7.0,72.4
20230327_030001,5.3,73.5,7.0,72.6
20230327_031501,5.3,73.4,6.9,72.5
20230327_033001,5.3,73.9,6.9,73.0
20230327_034501,5.1,75.1,6.9,74.2
20230327_040001,5.1,75.9,6.8,75.0
20230327_041502,5.1,76.5,6.8,75.5
20230327_043001,5.0,76.9,6.7,75.8
20230327_044501,5.0,77.4,6.7,76.0
20230327_050001,5.0,78.3,6.6,76.5
20230327_051501,5.0,77.7,6.6,76.7
20230327_053001,4.9,78.7,6.5,77.3
20230327_054501,4.8,78.7,6.5,77.6
20230327_060001,4.9,79.1,6.4,78.2
20230327_061501,4.7,80.1,6.4,78.3
20230327_063001,4.7,79.8,6.3,78.4
20230327_064501,4.6,80.2,6.3,78.7
20230327_070001,4.5,80.8,6.3,79.3
20230327_071501,4.5,81.3,6.2,79.0
20230327_073002,4.4,81.2,6.1,79.4
20230327_074501,4.3,82.1,6.1,79.4
20230327_080001,4.2,81.7,5.9,79.8
20230327_081501,4.1,81.8,5.9,79.3
20230327_083001,4.1,81.2,5.8,79.2
20230327_084501,3.9,81.2,5.8,78.9
20230327_090001,3.8,81.9,5.7,78.7
20230327_091501,3.7,82.1,5.7,78.5
20230327_093001,3.7,81.0,5.6,78.6
20230327_094502,3.6,81.2,5.5,78.4
20230327_100001,3.6,81.1,5.5,78.1
20230327_101501,3.5,81.6,5.5,78.0
20230327_103002,3.6,80.8,5.3,78.1
20230327_104501,3.9,80.1,5.4,78.4
20230327_110001,3.5,80.9,5.4,78.2
20230327_111502,3.5,80.8,5.3,78.1
20230327_113001,3.5,80.6,5.3,78.2
20230327_114501,3.6,80.6,5.3,78.3
20230327_120002,3.7,80.2,5.3,78.3
20230327_121501,3.9,78.9,5.3,78.3
20230327_123001,4.1,77.3,5.3,77.6
20230327_124501,4.3,76.4,5.3,76.8
20230327_130001,4.4,73.7,5.3,75.5
20230327_131501,4.5,74.1,5.5,74.2
20230327_133002,4.7,70.7,5.0,72.8
20230327_134501,4.7,68.2,4.7,70.7
20230327_140001,5.6,64.8,5.5,69.6
20230327_141501,5.0,67.6,5.7,68.8
20230327_143001,5.3,66.2,5.8,69.9
20230327_144501,5.4,62.6,5.8,69.2
20230327_150001,5.8,65.2,5.9,68.5
20230327_151501,5.6,62.2,6.0,67.9
20230327_153001,5.9,63.0,6.1,66.5
20230327_154501,5.8,63.7,6.1,65.3
20230327_160001,6.0,60.1,6.1,65.6
20230327_161501,6.3,57.5,6.2,64.6
20230327_163001,6.3,53.7,6.2,62.9
20230327_164501,5.6,61.3,6.2,63.4
20230327_170001,6.0,61.6,6.2,64.2
20230327_171501,6.3,60.6,6.3,65.3
20230327_173001,6.1,59.5,6.4,64.2
20230327_174501,6.1,61.1,6.4,64.3
20230327_180001,6.1,61.7,6.5,63.9
20230327_181501,5.9,62.0,6.5,63.8
20230327_183001,5.9,62.8,6.4,64.5
20230327_184501,5.8,60.3,6.1,65.8
20230327_190001,5.4,64.7,6.2,65.0
20230327_191501,5.1,66.1,6.2,67.2
20230327_193001,5.0,67.3,6.1,68.1
20230327_194501,4.9,67.9,6.0,68.8
20230327_200001,4.6,68.7,5.9,69.3
20230327_201501,4.2,68.7,5.6,67.9
20230327_203001,4.0,69.6,5.7,68.9
20230327_204501,3.9,70.2,5.7,70.0
20230327_210002,3.8,71.1,5.5,70.5
20230327_211501,3.6,72.0,5.5,70.9
20230327_213001,3.5,72.4,5.5,71.1
20230327_214502,3.3,73.2,5.3,71.2
20230327_220001,3.1,73.8,5.3,71.2
20230327_221501,3.0,73.6,5.1,70.9
20230327_223002,2.8,74.0,5.1,71.1
20230327_224501,2.5,74.8,5.0,71.2
20230327_230001,2.4,75.5,4.9,71.6
20230327_231502,2.3,75.6,4.8,71.6
20230327_233001,2.1,76.1,4.7,71.8
20230327_234501,2.0,76.4,4.5,71.8
