datetime,temp23,humi23,temp24,humi24
20221210_000002,0.0,88.9,1.5,84.8
20221210_001501,0.0,88.7,1.6,84.8
20221210_003001,0.0,88.8,1.6,84.9
20221210_004502,0.0,88.8,1.6,84.9
20221210_010001,0.0,89.1,1.6,84.9
20221210_011501,0.0,89.0,1.6,85.0
20221210_013002,0.0,88.8,1.5,85.0
20221210_014501,0.0,88.9,1.6,85.0
20221210_020001,0.0,89.0,1.6,85.1
20221210_021502,0.0,89.0,1.6,85.1
20221210_023001,0.0,89.0,1.6,85.2
20221210_024501,0.0,88.9,1.6,85.1
20221210_030002,0.0,89.1,1.6,85.2
20221210_031501,0.0,89.2,1.6,85.2
20221210_033001,0.0,89.1,1.6,85.2
20221210_034502,0.0,89.2,1.6,85.2
20221210_040001,0.0,89.1,1.6,85.3
20221210_041501,0.0,89.2,1.6,85.4
20221210_043002,0.0,89.3,1.5,85.4
20221210_044501,-0.1,89.4,1.5,85.4
20221210_050001,0.0,89.7,1.6,85.3
20221210_051502,0.0,89.6,1.6,85.4
20221210_053001,-0.1,89.4,1.6,85.3
20221210_054501,-0.1,89.9,1.5,85.5
20221210_060002,0.0,89.4,1.5,85.5
20221210_061501,-0.1,89.3,1.5,85.4
20221210_063001,-0.1,89.4,1.5,85.5
20221210_064501,-0.1,89.8,1.5,85.5
20221210_070001,-0.1,89.7,1.5,85.5
20221210_071501,-0.1,89.6,1.5,85.5
20221210_073001,-0.1,89.6,1.6,85.5
20221210_074501,-0.1,89.6,1.5,85.5
20221210_080001,-0.1,89.7,1.5,85.5
20221210_081501,-0.1,89.5,1.5,85.5
20221210_083001,-0.1,89.6,1.5,85.5
20221210_084501,-0.1,89.4,1.5,85.4
20221210_090001,-0.1,89.4,1.5,85.5
20221210_091501,0.0,89.4,1.5,85.5
20221210_093001,0.0,89.2,1.5,85.5
20221210_094501,0.0,89.4,1.5,85.6
20221210_100001,0.0,89.1,1.5,85.6
20221210_101501,0.0,89.2,1.5,85.6
20221210_103001,0.0,89.2,1.5,85.5
20221210_104501,0.0,89.1,1.5,85.6
20221210_110001,0.0,89.2,1.6,85.6
20221210_111501,0.0,89.1,1.5,85.6
20221210_113002,0.0,89.2,1.6,85.6
20221210_114501,0.1,89.2,1.6,85.6
20221210_120001,0.1,89.0,1.6,85.7
20221210_121502,0.2,88.8,1.6,85.6
20221210_123001,0.3,88.8,1.6,85.6
20221210_124501,0.3,88.6,1.6,85.6
20221210_130002,0.3,88.9,1.7,85.6
20221210_131501,0.3,88.8,1.7,85.6
20221210_133001,0.3,88.9,1.7,85.7
20221210_134502,0.3,89.0,1.7,85.7
20221210_140001,0.2,89.1,1.7,85.6
20221210_141501,0.2,89.3,1.7,85.7
20221210_143002,0.2,89.4,1.4,87.0
20221210_144501,0.1,89.6,1.0,89.7
20221210_150001,0.0,90.1,0.9,90.1
20221210_151502,0.0,90.2,0.8,90.6
20221210_153001,0.0,90.6,0.8,90.2
20221210_154501,0.0,90.6,0.8,89.8
20221210_160002,0.0,90.8,0.8,89.8
20221210_161501,-0.1,90.5,0.8,90.3
20221210_163001,0.0,90.5,1.0,89.6
20221210_164502,-0.1,90.5,1.2,88.0
20221210_170001,-0.1,90.5,1.3,87.6
20221210_171501,-0.1,90.5,1.4,87.7
20221210_173002,-0.2,90.7,1.3,87.5
20221210_174501,-0.1,90.6,1.4,87.2
20221210_180001,-0.2,90.8,1.3,87.2
20221210_181502,-0.3,90.6,1.3,87.2
20221210_183001,-0.2,90.9,1.3,87.0
20221210_184501,-0.3,90.6,1.4,87.0
20221210_190002,-0.3,90.9,1.3,86.9
20221210_191501,-0.3,91.0,1.3,86.9
20221210_193001,-0.3,91.4,1.2,86.9
20221210_194501,-0.4,90.9,1.2,86.8
20221210_200001,-0.4,91.1,1.2,86.6
20221210_201501,-0.4,91.2,1.2,86.6
20221210_203001,-0.4,91.5,1.2,86.5
20221210_204501,-0.5,91.4,1.2,86.6
20221210_210001,-0.5,91.2,1.2,86.5
20221210_211502,-0.5,91.6,1.2,86.4
20221210_213001,-0.5,91.4,1.1,86.4
20221210_214501,-0.5,91.5,1.1,86.3
20221210_220001,-0.6,91.5,1.1,86.3
20221210_221501,-0.6,91.4,1.1,86.3
20221210_223001,-0.6,91.5,1.0,86.1
20221210_224501,-0.6,91.4,1.0,86.0
20221210_230001,-0.6,91.2,1.0,86.0
20221210_231501,-0.7,91.6,1.0,86.0
20221210_233001,-0.7,91.5,1.0,85.7
20221210_234501,-0.7,91.3,1.0,85.7
