datetime,temp23,humi23,temp24,humi24
20230326_000001,7.5,66.0,9.2,66.9
20230326_001501,7.5,67.3,9.2,66.9
20230326_003001,7.3,66.6,9.1,67.0
20230326_004501,7.2,67.3,9.0,67.2
20230326_010001,7.2,67.0,9.0,67.3
20230326_011501,7.2,66.9,9.0,67.5
20230326_013001,7.0,67.3,8.9,67.6
20230326_014501,7.0,68.4,8.9,67.8
20230326_030001,6.9,68.2,8.8,68.0
20230326_031501,6.8,68.0,8.7,68.0
20230326_033001,6.7,68.9,8.6,68.3
20230326_034501,6.7,69.3,8.6,68.3
20230326_040001,6.6,69.0,8.6,68.5
20230326_041501,6.5,69.6,8.5,68.6
20230326_043001,6.4,69.8,8.4,68.9
20230326_044502,6.3,69.7,8.4,69.0
20230326_050001,6.3,70.7,8.3,69.2
20230326_051501,6.2,70.4,8.3,69.3
20230326_053002,6.1,70.7,8.2,69.5
20230326_054501,6.0,70.7,8.2,69.7
20230326_060001,5.9,70.8,8.2,69.7
20230326_061501,5.8,71.0,8.1,70.0
20230326_063001,5.8,71.0,8.1,70.3
20230326_064501,5.7,71.5,8.0,70.4
20230326_070002,5.6,71.8,8.0,70.6
20230326_071501,5.6,72.1,8.0,70.7
20230326_073001,5.6,71.9,7.9,70.9
20230326_074502,5.6,71.9,7.9,71.0
20230326_080001,5.6,71.9,7.9,71.0
20230326_081501,5.7,71.7,7.8,71.2
20230326_083001,5.8,71.6,7.8,71.3
20230326_084501,5.9,71.3,7.8,71.5
20230326_090001,6.0,71.4,7.8,71.5
20230326_091502,6.2,71.8,7.8,71.8
20230326_093001,6.3,71.6,7.9,71.7
20230326_094501,6.3,72.3,7.9,71.7
20230326_100002,6.3,73.4,8.0,72.4
20230326_101501,6.3,75.1,8.0,72.8
20230326_103001,6.5,75.2,8.0,73.3
20230326_104501,6.6,75.9,8.0,73.3
20230326_110001,6.9,76.6,8.0,73.8
20230326_111501,7.0,76.8,8.0,73.8
20230326_113001,6.9,75.7,8.0,74.1
20230326_114501,6.8,76.9,8.1,74.9
20230326_120001,6.8,75.0,8.1,74.5
20230326_121501,6.9,77.2,8.1,74.7
20230326_123001,7.2,76.5,8.1,75.0
20230326_124501,7.2,79.5,8.1,75.7
20230326_130001,7.1,79.5,8.2,75.7
20230326_131501,7.1,79.0,8.2,77.3
20230326_133001,7.3,77.9,8.2,77.7
20230326_134501,7.6,78.2,8.2,78.2
20230326_140001,7.7,77.5,8.3,78.3
20230326_141501,7.8,76.2,8.4,79.1
20230326_143001,8.0,75.2,8.4,79.0
20230326_144501,8.3,74.7,8.5,79.1
20230326_150001,8.4,75.6,8.6,78.7
20230326_151501,8.4,74.7,8.6,78.6
20230326_153002,8.4,74.7,8.6,78.5
20230326_154501,8.6,74.0,8.7,78.4
20230326_160001,8.7,74.1,8.8,78.5
20230326_161501,8.6,72.9,8.7,78.3
20230326_163001,8.1,70.2,8.7,76.6
20230326_164501,8.2,71.9,8.7,76.3
20230326_170002,8.3,71.0,8.7,75.8
20230326_171501,8.4,72.5,8.7,75.5
20230326_173001,8.4,71.2,8.7,75.3
20230326_174502,8.4,71.2,8.8,75.1
20230326_180001,8.4,71.5,8.8,75.1
20230326_181501,8.4,69.7,8.7,75.2
20230326_183002,8.4,68.2,8.7,71.9
20230326_184501,8.4,67.5,8.7,71.7
20230326_190001,8.3,68.3,8.7,71.5
20230326_191502,8.2,68.4,8.7,71.8
20230326_193001,8.2,68.0,8.6,71.5
20230326_194501,8.1,68.2,8.6,72.0
20230326_200002,8.0,68.3,8.6,71.9
20230326_201501,8.0,69.9,8.5,73.0
20230326_203001,7.8,70.7,8.5,73.6
20230326_204502,7.6,70.3,8.4,73.0
20230326_210001,7.5,70.7,8.4,72.7
20230326_211501,7.2,71.0,8.3,72.4
20230326_213002,7.1,71.2,8.2,72.4
20230326_214501,7.0,71.6,8.2,72.5
20230326_220001,7.0,71.2,8.1,72.4
20230326_221502,6.8,71.6,8.0,72.7
20230326_223001,6.7,71.7,8.0,72.7
20230326_224501,6.7,71.9,7.9,72.5
20230326_230002,6.6,71.2,7.8,72.1
20230326_231501,6.5,71.3,7.7,72.2
20230326_233001,6.5,71.4,7.6,72.0
20230326_234502,6.4,71.0,7.6,71.5
