datetime,temp23,humi23,temp24,humi24
20230331_000001,9.2,77.2,10.2,81.9
20230331_001502,9.0,77.9,10.1,82.0
20230331_003001,8.8,78.5,10.1,82.1
20230331_004501,8.6,78.9,10.0,82.2
20230331_010002,8.5,80.1,9.9,82.3
20230331_011501,8.4,80.4,9.8,82.2
20230331_013001,8.4,79.8,9.7,82.2
20230331_014502,8.2,79.8,9.7,82.3
20230331_020001,8.0,80.0,9.6,82.3
20230331_021501,8.0,80.6,9.5,82.4
20230331_023002,7.8,80.3,9.4,82.4
20230331_024501,7.8,80.1,9.4,82.5
20230331_030001,7.8,80.1,9.4,82.5
20230331_031502,7.8,79.8,9.4,82.6
20230331_033001,7.8,80.1,9.3,82.5
20230331_034501,7.8,79.7,9.2,82.4
20230331_040002,7.6,79.7,9.2,82.4
20230331_041501,7.6,79.7,9.2,82.5
20230331_043001,7.6,79.5,9.2,82.5
20230331_044501,7.6,79.5,9.2,82.5
20230331_050001,7.8,79.3,9.1,82.3
20230331_051501,7.8,80.1,9.1,82.3
20230331_053001,7.8,80.4,9.1,82.3
20230331_054501,7.8,80.9,9.1,82.4
20230331_060001,7.8,81.3,9.1,82.8
20230331_061501,7.8,81.1,9.0,83.3
20230331_063002,7.6,82.1,9.0,83.6
20230331_064501,7.6,82.3,9.0,83.6
20230331_070001,7.6,82.1,9.0,83.5
20230331_071502,7.6,87.8,9.0,83.7
20230331_073001,7.5,88.7,9.0,83.9
20230331_074501,7.6,90.1,9.0,84.2
20230331_080002,7.6,89.8,9.0,85.2
20230331_081501,7.6,89.3,9.0,84.0
20230331_083001,7.9,89.6,9.0,83.8
20230331_084502,8.0,89.3,9.0,84.0
20230331_090001,8.1,88.8,9.0,84.3
20230331_091501,8.1,88.2,9.0,84.2
20230331_093001,8.0,84.7,9.0,83.6
20230331_094501,8.0,86.7,9.0,83.7
20230331_100001,8.0,88.2,9.0,83.7
20230331_101501,8.1,90.0,9.0,84.6
20230331_103001,8.6,90.1,9.0,87.9
20230331_104501,8.6,90.4,9.0,88.7
20230331_110001,8.8,88.3,9.1,87.8
20230331_111501,8.7,83.9,9.2,85.9
20230331_113001,8.9,82.8,9.2,86.0
20230331_114501,10.1,79.1,9.4,85.8
20230331_120001,10.4,76.1,9.7,84.6
20230331_121501,11.4,72.7,10.0,83.1
20230331_123001,11.8,71.3,10.1,82.7
20230331_124502,12.1,70.6,10.4,82.0
20230331_130001,12.7,69.7,10.6,82.2
20230331_131501,12.6,69.0,10.8,82.0
20230331_133002,12.5,70.2,11.0,81.1
20230331_134501,11.5,74.0,10.9,81.8
20230331_140001,11.7,71.6,10.8,80.9
20230331_141502,12.2,70.3,10.9,80.6
20230331_143001,12.3,69.9,11.0,78.8
20230331_144501,12.5,65.1,11.1,77.7
20230331_150002,12.6,67.1,11.3,77.1
20230331_151501,12.6,65.6,11.4,76.4
20230331_153001,12.5,61.8,11.4,75.5
20230331_154502,12.5,62.7,11.4,73.2
20230331_160001,12.7,62.0,11.5,72.0
20230331_161501,12.5,62.1,11.5,70.8
20230331_163002,12.5,64.9,11.5,72.9
20230331_164501,12.5,64.7,11.5,72.3
20230331_170001,12.1,65.9,11.5,73.2
20230331_171502,11.4,68.7,11.2,75.6
20230331_173001,11.8,69.2,11.1,76.4
20230331_174501,11.9,68.1,11.2,76.9
20230331_180001,11.7,66.7,11.2,74.2
20230331_181501,11.5,65.0,11.0,71.7
20230331_183001,11.5,64.6,11.1,73.2
20230331_184501,11.5,63.7,11.0,73.0
20230331_190001,11.3,65.0,11.0,72.1
20230331_191501,10.9,66.8,10.9,73.2
20230331_193001,10.4,70.3,10.7,75.4
20230331_194501,10.3,71.2,10.6,76.2
20230331_200001,10.0,72.0,10.5,76.3
20230331_201501,9.8,72.3,10.4,76.6
20230331_203001,9.6,72.7,10.3,76.6
20230331_204501,9.4,71.6,10.2,76.4
20230331_210001,9.2,72.9,10.1,76.1
20230331_211501,9.0,73.2,10.0,76.0
20230331_213001,8.9,73.7,9.9,75.7
20230331_214501,8.6,72.8,9.8,75.7
20230331_220001,8.6,73.9,9.7,75.3
20230331_221501,8.5,73.2,9.6,74.4
20230331_223001,8.4,73.5,9.5,74.3
20230331_224502,8.3,73.4,9.4,74.1
20230331_230001,8.2,73.4,9.4,74.2
20230331_231501,8.1,73.4,9.3,74.0
20230331_233002,8.1,72.6,9.2,73.2
20230331_234501,8.0,71.9,9.2,72.6
