datetime,temp23,humi23,temp24,humi24
20230215_000002,0.0,86.3,1.5,89.1
20230215_001501,0.0,86.1,1.4,89.0
20230215_003001,0.0,86.5,1.4,89.1
20230215_004501,0.0,86.5,1.4,89.0
20230215_010001,-0.1,86.6,1.4,89.0
20230215_011501,-0.1,86.8,1.4,89.0
20230215_013001,-0.2,87.1,1.4,89.0
20230215_014501,-0.2,87.0,1.4,89.0
20230215_020001,-0.2,86.9,1.3,89.0
20230215_021501,-0.3,87.1,1.3,89.0
20230215_023001,-0.4,87.1,1.2,89.0
20230215_024501,-0.5,87.3,1.2,88.9
20230215_030001,-0.6,87.5,1.2,88.9
20230215_031502,-0.7,87.6,1.1,88.8
20230215_033001,-0.7,87.5,1.1,88.7
20230215_034501,-0.8,87.2,1.1,88.7
20230215_040002,-0.7,88.2,1.0,88.7
20230215_041501,-0.7,87.6,1.0,88.6
20230215_043001,-0.7,87.9,1.0,88.7
20230215_044502,-1.1,88.0,1.0,88.6
20230215_050001,-1.0,88.1,1.0,88.5
20230215_051501,-0.9,88.0,0.9,88.5
20230215_053002,-0.9,88.0,0.9,88.6
20230215_054501,-0.9,88.1,0.9,88.5
20230215_060001,-0.9,88.6,0.8,88.4
20230215_061502,-1.0,88.5,0.8,88.2
20230215_063001,-1.1,87.9,0.8,88.3
20230215_064501,-1.1,88.6,0.8,88.3
20230215_070001,-1.1,88.3,0.8,88.3
20230215_071501,-1.0,88.1,0.8,88.3
20230215_073001,-1.1,88.6,0.8,88.4
20230215_074501,-1.1,88.0,0.7,88.3
20230215_080001,-1.0,87.9,0.7,88.4
20230215_081501,-1.1,87.7,0.7,88.3
20230215_083001,-1.1,88.0,0.7,88.3
20230215_084501,-1.1,88.3,0.6,88.3
20230215_090001,-0.9,87.9,0.7,88.2
20230215_091501,-0.9,87.3,0.7,88.2
20230215_093002,-0.7,87.1,0.7,88.2
20230215_094501,-0.7,87.3,0.8,88.1
20230215_100001,-0.5,86.9,0.8,88.1
20230215_101501,-0.3,86.4,0.8,88.2
20230215_103001,-0.1,86.8,0.8,88.2
20230215_104501,0.1,85.1,0.9,88.1
20230215_110002,1.0,84.1,1.0,88.2
20230215_111501,2.6,78.1,1.1,87.9
20230215_113001,3.3,76.4,1.4,87.6
20230215_114502,4.1,73.9,1.5,86.9
20230215_120001,4.3,73.5,1.7,86.6
20230215_121501,4.0,74.5,1.8,86.7
20230215_123002,3.6,76.4,1.8,86.8
20230215_124501,3.5,77.4,1.8,87.5
20230215_130001,3.5,78.7,1.8,88.1
20230215_131501,3.6,78.1,1.8,88.2
20230215_133001,3.7,78.4,1.9,88.2
20230215_134501,4.0,78.2,2.0,87.9
20230215_140001,4.1,78.6,2.1,88.2
20230215_141501,4.3,77.6,2.1,88.7
20230215_143001,4.2,79.1,2.2,88.3
20230215_144501,4.2,78.7,2.3,88.2
20230215_150001,4.2,78.4,2.4,88.2
20230215_151501,4.2,79.6,2.4,88.8
20230215_153001,4.1,80.1,2.5,88.8
20230215_154501,4.2,79.7,2.5,89.0
20230215_160001,4.1,80.3,2.5,89.0
20230215_161501,3.9,80.6,2.6,89.1
20230215_163001,3.8,80.5,2.6,89.1
20230215_164501,3.5,81.6,2.6,89.2
20230215_170001,3.4,81.8,2.6,89.4
20230215_171501,3.1,82.0,2.5,89.5
20230215_173001,2.9,82.3,2.5,89.5
20230215_174501,2.7,83.0,2.5,89.4
20230215_180001,2.4,84.7,2.4,89.3
20230215_181501,2.2,84.7,2.3,89.3
20230215_183001,1.9,84.6,2.3,89.3
20230215_184501,1.7,86.0,2.3,89.2
20230215_190001,1.7,85.2,2.3,89.1
20230215_191501,1.7,85.5,2.2,89.2
20230215_193001,1.6,85.5,2.2,89.2
20230215_194501,1.5,85.4,2.2,89.1
20230215_200001,1.4,85.7,2.2,89.1
20230215_201501,1.4,85.4,2.2,89.2
20230215_203001,1.4,85.3,2.2,89.3
20230215_204501,1.2,85.6,2.1,89.3
20230215_210001,1.2,85.2,2.1,89.4
20230215_211502,1.1,85.4,2.1,89.4
20230215_213001,1.0,85.5,2.1,89.4
20230215_214501,1.0,85.6,2.1,89.4
20230215_220001,1.0,85.8,2.0,89.4
20230215_221501,1.0,86.4,1.8,91.1
20230215_223001,0.8,85.9,1.9,91.5
20230215_224501,0.8,86.3,2.0,90.1
20230215_230001,0.8,86.4,2.0,89.7
20230215_231501,0.6,86.6,2.0,89.6
20230215_233001,0.6,86.8,2.0,89.5
20230215_234501,0.5,87.2,1.9,89.6
