datetime,temp23,humi23,temp24,humi24
20221129_000001,4.2,82.9,4.2,88.5
20221129_001501,4.2,82.6,4.2,88.2
20221129_003001,4.3,82.7,4.2,88.7
20221129_004501,4.3,82.5,4.2,88.6
20221129_010001,4.3,83.7,4.2,89.0
20221129_011502,4.3,84.3,4.2,89.5
20221129_013001,4.3,83.7,4.2,89.2
20221129_014501,4.3,84.1,4.2,89.4
20221129_020002,4.3,85.1,4.3,89.8
20221129_021501,4.3,85.2,4.3,90.4
20221129_023001,4.4,85.5,4.3,90.7
20221129_024502,4.3,85.9,4.3,90.6
20221129_030001,4.4,85.9,4.3,90.9
20221129_031501,4.4,85.2,4.3,90.3
20221129_033001,4.4,85.8,4.3,90.6
20221129_034501,4.4,84.3,4.4,89.9
20221129_040001,4.4,84.7,4.4,90.1
20221129_041501,4.4,84.7,4.4,91.6
20221129_043001,4.5,85.4,4.4,90.2
20221129_044501,4.5,86.7,4.4,90.4
20221129_050001,4.4,85.6,4.4,90.9
20221129_051501,4.5,85.5,4.4,91.1
20221129_053001,4.5,87.1,4.5,91.7
20221129_054501,4.5,87.3,4.5,92.5
20221129_060001,4.5,87.7,4.5,92.2
20221129_061501,4.5,88.1,4.5,92.6
20221129_063001,4.5,87.8,4.5,92.5
20221129_064501,4.5,87.7,4.5,92.3
20221129_070001,4.5,87.6,4.5,92.6
20221129_071501,4.5,87.3,4.5,92.4
20221129_073001,4.6,89.3,4.5,92.5
20221129_074501,4.6,88.6,4.5,92.5
20221129_080001,4.6,88.7,4.5,93.2
20221129_081501,4.6,88.8,4.5,92.7
20221129_083001,4.6,88.9,4.5,94.1
20221129_084501,4.6,88.2,4.5,93.8
20221129_090001,4.7,88.6,4.5,94.3
20221129_091501,4.7,87.6,4.6,93.5
20221129_093001,4.7,87.6,4.6,93.5
20221129_094501,4.7,88.0,4.6,93.8
20221129_100001,4.7,87.5,4.7,93.7
20221129_101501,4.7,87.1,4.7,93.6
20221129_103001,4.7,87.0,4.7,94.3
20221129_104501,4.8,87.0,4.7,93.7
20221129_110001,4.9,87.5,4.7,93.6
20221129_111501,4.9,87.0,4.7,93.6
