datetime,temp23,humi23,temp24,humi24
20230219_000002,10.3,66.5,10.3,74.4
20230219_001501,10.2,66.3,10.2,74.6
20230219_003001,10.2,66.3,10.2,74.7
20230219_004502,10.1,66.9,10.2,75.0
20230219_010001,10.1,67.3,10.1,75.0
20230219_011501,10.1,67.3,10.1,75.4
20230219_013002,10.0,67.7,10.1,75.6
20230219_014501,10.0,67.9,10.0,75.7
20230219_020001,9.9,68.2,10.0,75.9
20230219_021502,9.9,67.7,10.0,76.2
20230219_023001,9.8,68.2,10.0,76.2
20230219_024501,9.8,68.6,10.0,76.3
20230219_030002,9.8,68.9,9.9,76.5
20230219_031501,9.7,69.7,9.9,76.7
20230219_033001,9.6,70.6,9.8,78.4
20230219_034501,9.5,71.7,9.8,79.2
20230219_040001,9.4,72.2,9.7,79.5
20230219_041501,9.2,75.3,9.7,80.8
20230219_043001,9.1,75.4,9.6,82.0
20230219_044501,9.0,77.2,9.5,82.1
20230219_050001,8.9,76.4,9.5,82.5
20230219_051501,8.8,77.2,9.4,83.2
20230219_053001,8.6,77.7,9.4,83.8
20230219_054501,8.6,78.1,9.2,84.5
20230219_060001,8.5,78.2,9.2,84.4
20230219_061501,8.4,78.9,9.2,84.4
20230219_063001,8.3,78.5,9.0,84.2
20230219_064501,8.3,78.9,9.0,84.4
20230219_070002,8.3,78.7,9.0,84.4
20230219_071501,8.2,79.1,9.0,84.5
20230219_073001,8.2,78.9,8.9,84.3
20230219_074502,8.2,78.9,8.9,84.3
20230219_080001,8.2,78.9,8.9,84.3
20230219_081501,8.1,78.6,8.8,84.5
20230219_083002,8.2,78.8,8.8,84.5
20230219_084501,8.3,78.5,8.8,84.4
20230219_090001,8.2,78.9,8.8,84.7
20230219_091502,8.3,79.1,8.8,85.2
20230219_093001,8.3,79.1,8.6,85.5
20230219_094501,8.4,78.7,8.8,85.2
20230219_100002,8.5,78.1,8.9,84.7
20230219_101501,8.6,77.4,8.9,84.3
20230219_103001,8.6,76.5,8.9,83.2
20230219_104501,8.6,75.3,8.9,81.8
20230219_110001,8.5,72.9,8.8,80.5
20230219_111501,8.5,73.1,8.8,79.8
20230219_113001,9.7,68.3,8.9,79.3
20230219_114501,9.7,65.9,9.0,77.9
20230219_120001,10.1,63.7,9.2,77.3
20230219_121501,10.5,62.3,9.3,76.0
20230219_123001,10.2,62.8,9.4,75.4
20230219_124501,10.3,64.0,9.4,75.3
20230219_130001,10.0,66.0,9.5,75.3
20230219_131501,10.1,66.3,9.4,76.4
20230219_133001,10.2,64.2,9.4,74.4
20230219_134501,10.2,63.2,9.4,73.2
20230219_140002,10.0,64.2,9.4,73.4
20230219_141501,10.0,62.1,9.4,72.8
20230219_143001,10.0,61.6,9.4,71.9
20230219_144501,10.2,62.5,9.4,72.3
20230219_150002,10.1,62.2,9.4,72.6
20230219_151501,10.0,62.8,9.4,72.4
20230219_153001,10.0,62.9,9.4,72.2
20230219_154501,9.9,62.4,9.4,72.4
20230219_160002,9.8,63.0,9.3,72.3
20230219_161501,9.7,63.4,9.3,72.3
20230219_163001,9.7,63.6,9.2,72.7
20230219_164501,9.6,63.8,9.2,72.8
20230219_170002,9.4,63.9,9.2,72.9
20230219_171501,9.3,64.6,9.2,73.3
20230219_173001,9.2,65.2,9.1,73.1
20230219_174501,9.0,65.3,9.0,73.0
20230219_180002,8.8,65.5,9.0,73.2
20230219_181501,8.6,66.4,8.9,73.7
20230219_183001,8.6,66.6,8.9,74.0
20230219_184501,8.5,66.7,8.8,74.0
20230219_190002,8.4,66.8,8.7,73.9
20230219_191501,8.3,67.2,8.7,74.0
20230219_193001,8.2,67.2,8.6,74.3
20230219_194501,8.1,67.5,8.6,74.5
20230219_200002,8.1,68.9,8.6,74.9
20230219_201501,8.0,68.6,8.5,75.0
20230219_203001,8.0,69.3,8.5,74.8
20230219_204501,7.9,69.3,8.5,74.8
20230219_210001,7.8,69.6,8.4,75.1
20230219_211501,7.7,68.7,8.4,75.3
20230219_213001,7.6,69.7,8.4,75.5
20230219_214502,7.6,70.5,8.3,75.8
20230219_220001,7.5,70.8,8.3,75.7
20230219_221501,7.5,70.6,8.3,75.6
20230219_223001,7.5,70.4,8.2,75.6
20230219_224501,7.5,70.2,8.1,75.4
20230219_230002,7.4,70.6,8.1,75.4
20230219_231501,7.4,69.9,8.1,75.4
20230219_233001,7.3,70.7,8.0,75.6
20230219_234501,7.2,70.2,8.0,75.5
