datetime,temp23,humi23,temp24,humi24
20230306_000001,1.6,73.8,2.9,77.0
20230306_001501,1.5,74.2,2.8,77.2
20230306_003001,1.5,74.2,2.8,77.2
20230306_004501,1.5,74.4,2.8,77.2
20230306_010001,1.5,74.6,2.8,77.3
20230306_011501,1.4,74.6,2.8,77.5
20230306_013001,1.4,74.9,2.7,77.5
20230306_014501,1.4,75.0,2.7,77.5
20230306_020002,1.3,75.0,2.7,77.7
20230306_021501,1.2,75.3,2.7,77.7
20230306_023001,1.2,75.4,2.7,77.7
20230306_024502,1.1,75.5,2.7,77.6
20230306_030001,1.1,75.5,2.6,77.8
20230306_031501,1.1,75.7,2.5,77.8
20230306_033002,1.0,75.9,2.5,77.8
20230306_034501,1.0,76.0,2.5,77.9
20230306_040001,1.0,76.4,2.5,77.9
20230306_041502,0.9,76.5,2.5,78.0
20230306_043001,0.8,76.7,2.5,78.0
20230306_044501,0.8,76.7,2.4,78.1
20230306_050002,0.8,77.0,2.4,78.2
20230306_051501,0.8,76.9,2.4,78.2
20230306_053001,0.7,77.1,2.4,78.3
20230306_054501,0.6,77.2,2.4,78.5
20230306_060001,0.6,77.3,2.3,78.4
20230306_061501,0.6,77.3,2.3,78.6
20230306_063001,0.6,77.4,2.3,78.5
20230306_064502,0.6,77.5,2.3,78.5
20230306_070001,0.5,77.7,2.3,78.6
20230306_071501,0.5,77.8,2.3,78.7
20230306_073002,0.5,77.8,2.2,78.7
20230306_074501,0.6,77.5,2.2,78.8
20230306_080001,0.6,77.0,2.1,77.9
20230306_081502,0.6,76.6,2.2,78.3
20230306_083001,0.8,76.1,2.2,78.3
20230306_084501,0.9,75.0,2.2,78.3
20230306_090002,1.0,75.7,2.2,78.2
20230306_091501,1.1,71.7,2.2,78.1
20230306_093001,1.2,72.5,2.2,78.0
20230306_094502,1.4,74.7,2.3,77.9
20230306_100001,1.5,74.5,2.4,77.6
20230306_101501,1.6,74.1,2.4,77.7
20230306_103001,1.8,73.8,2.5,77.5
20230306_104501,1.9,73.5,2.5,77.3
20230306_110001,2.1,71.6,2.5,77.3
20230306_111501,2.3,70.6,2.6,77.2
20230306_113001,2.7,70.8,2.7,76.9
20230306_114501,2.7,70.5,2.8,76.4
20230306_120001,2.7,69.3,2.8,76.2
20230306_121501,2.8,70.1,2.8,75.9
20230306_123001,3.1,68.0,2.8,75.7
20230306_124501,3.1,67.5,2.9,75.2
20230306_130001,3.2,67.9,3.0,75.4
20230306_131501,3.1,68.4,3.0,74.5
20230306_133001,3.1,65.7,3.0,74.1
20230306_134502,3.5,66.4,3.0,73.7
20230306_140001,3.4,66.0,3.1,73.0
20230306_141501,3.5,65.1,3.1,73.0
20230306_143002,3.5,66.3,3.1,72.5
20230306_144501,3.6,64.3,3.2,72.7
20230306_150001,3.5,65.5,3.2,72.5
20230306_151502,3.5,66.3,3.3,72.1
20230306_153001,3.5,66.5,3.3,72.1
20230306_154501,3.7,65.2,3.3,72.5
20230306_160002,3.8,64.6,3.3,72.1
20230306_161501,3.8,64.1,3.3,72.1
20230306_163001,3.7,64.9,3.4,71.6
20230306_164502,3.6,64.5,3.3,71.3
20230306_170001,3.7,62.9,3.4,70.9
20230306_171501,3.6,63.5,3.4,70.1
20230306_173002,3.6,61.2,3.4,70.1
20230306_174501,3.5,63.1,3.3,69.4
20230306_180001,3.5,64.0,3.3,69.1
20230306_181502,3.3,64.1,3.3,69.4
20230306_183001,3.3,64.5,3.3,69.5
20230306_184501,3.3,65.8,3.3,70.0
20230306_190001,3.1,65.7,3.3,70.8
20230306_191501,3.1,67.0,3.3,71.4
20230306_193001,3.1,66.9,3.3,71.7
20230306_194501,3.0,66.5,3.3,72.2
20230306_200001,3.0,66.0,3.2,72.0
20230306_201501,2.9,66.9,3.3,72.0
20230306_203001,2.8,67.1,3.2,72.1
20230306_204502,2.8,67.1,3.2,72.0
20230306_210001,2.7,67.3,3.2,72.2
20230306_211501,2.6,67.5,3.2,72.5
20230306_213002,2.5,67.6,3.2,72.7
20230306_214501,2.5,67.9,3.1,72.9
20230306_220001,2.5,68.2,3.2,73.0
20230306_221502,2.4,68.3,3.1,73.1
20230306_223001,2.4,68.6,3.1,73.2
20230306_224501,2.3,68.6,3.1,73.3
20230306_230002,2.3,69.3,3.1,73.4
20230306_231501,2.2,69.2,3.1,73.3
20230306_233001,2.2,69.7,3.1,73.5
20230306_234502,2.1,69.7,3.1,73.6
