datetime,temp23,humi23,temp24,humi24
20230406_000001,4.7,55.1,6.8,53.6
20230406_001501,4.4,55.6,6.6,53.8
20230406_003001,4.3,56.1,6.5,54.1
20230406_004501,4.0,56.7,6.4,54.2
20230406_010001,3.7,57.2,6.2,54.4
20230406_011501,3.6,57.6,6.1,54.7
20230406_013001,3.4,58.1,6.0,54.8
20230406_014501,3.1,58.7,5.8,55.0
20230406_020001,2.9,59.0,5.7,55.1
20230406_021501,2.8,59.5,5.6,55.3
20230406_023001,2.5,60.0,5.5,55.5
20230406_024501,2.4,60.2,5.3,55.7
20230406_030001,2.3,60.6,5.2,55.9
20230406_031501,2.1,61.3,5.1,56.1
20230406_033001,1.9,61.5,5.0,56.3
20230406_034501,1.7,62.1,4.9,56.4
20230406_040001,1.6,62.3,4.7,56.6
20230406_041501,1.4,63.0,4.7,56.7
20230406_043001,1.2,63.3,4.5,56.9
20230406_044501,1.1,63.5,4.4,57.0
20230406_050001,0.9,64.1,4.3,57.1
20230406_051501,0.8,64.3,4.2,57.2
20230406_053001,0.7,64.4,4.1,57.3
20230406_054501,0.5,64.8,4.1,57.3
20230406_060001,0.4,65.2,4.0,57.5
20230406_061501,0.3,65.6,3.9,57.5
20230406_063001,0.2,65.5,3.9,57.6
20230406_064501,0.0,66.0,3.7,57.8
20230406_070001,0.0,66.1,3.6,57.9
20230406_071501,0.0,66.4,3.5,57.9
20230406_073001,-0.1,66.3,3.5,58.1
20230406_074501,0.0,65.7,3.4,58.3
20230406_080001,0.5,63.5,3.1,58.2
20230406_081501,3.1,55.9,3.3,58.5
20230406_083001,2.4,58.0,3.5,58.2
20230406_084501,2.3,58.5,3.5,58.5
20230406_090001,4.5,53.2,3.6,58.5
20230406_091501,10.2,39.9,4.0,57.4
20230406_093001,10.5,38.6,4.5,56.4
20230406_094502,8.6,40.8,4.6,56.2
20230406_100001,10.5,35.6,4.7,55.5
20230406_101501,12.1,33.5,5.1,55.0
20230406_103002,9.8,36.4,5.3,54.8
20230406_104501,10.0,35.7,5.2,55.3
20230406_110001,12.5,33.1,5.5,54.1
20230406_111502,13.7,31.3,5.9,53.3
20230406_113001,13.6,31.2,6.1,52.6
20230406_114501,14.3,30.9,6.5,52.5
20230406_120002,12.5,34.4,6.4,51.8
20230406_121501,12.9,32.3,6.8,51.4
20230406_123001,11.3,38.3,6.9,51.1
20230406_124502,11.3,36.8,6.9,50.8
20230406_130001,11.1,39.1,7.1,50.9
20230406_131501,12.2,33.7,7.2,51.0
20230406_133002,11.9,33.8,7.5,50.9
20230406_134501,12.3,35.3,7.7,50.9
20230406_140001,12.5,36.8,8.0,50.9
20230406_141502,12.5,35.9,8.2,49.8
20230406_143001,12.1,37.7,8.4,49.3
20230406_144501,12.5,33.0,8.5,49.2
20230406_150002,12.9,32.0,8.8,47.0
20230406_151501,12.9,35.3,9.0,48.2
20230406_153001,12.5,33.8,10.2,39.7
20230406_154502,12.5,34.7,10.7,38.2
20230406_160001,12.2,34.2,10.2,39.3
20230406_161501,12.8,32.5,10.0,41.6
20230406_163002,12.8,34.3,10.0,43.3
20230406_164501,12.7,33.6,10.1,42.7
20230406_170001,12.7,36.1,10.1,44.1
20230406_171502,12.6,32.7,10.1,44.4
20230406_173001,13.1,36.0,10.3,45.6
20230406_174501,13.1,35.7,10.5,44.0
20230406_180002,12.9,34.1,10.6,42.0
20230406_181501,12.5,33.9,10.6,43.4
20230406_183001,12.5,34.5,10.6,44.4
20230406_184501,12.5,34.5,10.7,43.3
20230406_190001,12.0,35.1,10.6,44.2
20230406_191501,11.9,38.0,10.5,45.9
20230406_193001,11.7,39.1,10.5,46.5
20230406_194501,11.5,40.8,10.3,47.3
20230406_200001,11.2,42.0,10.2,47.9
20230406_201501,10.9,43.7,10.1,48.5
20230406_203001,10.6,44.3,10.0,49.1
20230406_204501,10.2,45.3,9.8,49.7
20230406_210001,10.0,45.8,9.7,50.1
20230406_211501,9.6,46.5,9.5,50.5
20230406_213001,9.2,47.3,9.4,50.9
20230406_214501,9.0,47.9,9.2,51.2
20230406_220001,8.6,48.6,9.1,51.5
20230406_221501,8.3,49.1,9.0,51.8
20230406_223001,8.1,49.4,8.9,52.0
20230406_224501,8.0,49.7,8.7,52.2
20230406_230001,7.6,50.5,8.6,52.5
20230406_231501,7.5,50.9,8.5,52.8
20230406_233002,7.2,51.4,8.4,53.1
20230406_234501,7.0,50.0,8.3,53.3
