datetime,temp23,humi23,temp24,humi24
20230211_000001,-1.9,78.4,-0.5,79.0
20230211_001501,-2.1,78.5,-0.5,79.1
20230211_003001,-2.1,78.7,-0.6,79.1
20230211_004501,-2.2,78.7,-0.7,79.3
20230211_010001,-2.4,79.0,-0.7,79.4
20230211_011501,-2.6,79.4,-0.8,79.5
20230211_013001,-2.7,79.5,-0.9,79.5
20230211_014501,-2.9,79.6,-0.9,79.5
20230211_020001,-3.0,80.0,-1.0,79.6
20230211_021501,-3.0,80.0,-1.0,79.6
20230211_023001,-3.2,80.2,-1.1,79.6
20230211_024501,-3.3,80.5,-1.1,79.6
20230211_030001,-3.4,80.6,-1.1,79.7
20230211_031501,-3.5,80.5,-1.2,79.9
20230211_033001,-3.6,80.7,-1.3,80.0
20230211_034501,-3.6,80.7,-1.3,80.0
20230211_040001,-3.7,80.9,-1.4,80.2
20230211_041501,-3.8,81.0,-1.5,80.3
20230211_043001,-3.8,81.8,-1.5,80.3
20230211_044501,-3.8,80.9,-1.5,80.4
20230211_050001,-4.0,80.6,-1.6,80.6
20230211_051501,-4.0,80.8,-1.6,80.7
20230211_053001,-4.1,81.2,-1.6,80.7
20230211_054501,-4.1,81.4,-1.7,80.7
20230211_060001,-4.2,81.5,-1.8,80.7
20230211_061501,-4.3,81.6,-1.8,80.7
20230211_063001,-4.3,81.8,-1.8,80.7
20230211_064502,-4.2,81.4,-1.8,80.7
20230211_070001,-4.2,80.9,-1.8,80.7
20230211_071501,-4.0,81.1,-1.8,80.7
20230211_073002,-4.0,80.6,-1.8,80.7
20230211_074501,-3.9,80.7,-1.8,80.7
20230211_080001,-3.8,80.3,-1.8,80.8
20230211_081502,-3.7,80.4,-1.7,80.5
20230211_083001,-3.6,80.2,-1.6,80.5
20230211_084501,-3.4,80.3,-1.6,80.5
20230211_090002,-3.2,80.8,-1.5,80.5
20230211_091501,-2.9,79.4,-1.5,80.4
20230211_093001,-2.6,78.6,-1.5,80.3
20230211_094502,-2.2,77.1,-1.3,80.0
20230211_100001,-2.0,76.9,-1.3,79.6
20230211_101501,-1.5,75.7,-1.1,79.4
20230211_103002,-1.1,73.8,-1.1,79.0
20230211_104501,-0.7,72.6,-1.0,79.0
20230211_110001,-0.5,72.8,-0.8,78.8
20230211_111502,2.0,63.9,-0.5,78.4
20230211_113001,0.8,66.6,-0.3,77.7
20230211_114501,1.0,67.8,-0.2,77.6
20230211_120002,1.9,64.8,-0.1,77.6
20230211_121501,2.5,61.5,0.0,77.6
20230211_123001,2.1,62.9,0.2,76.4
20230211_124502,2.1,63.0,0.3,76.0
20230211_130001,2.3,64.5,0.4,75.2
20230211_131501,2.7,60.3,0.6,74.8
20230211_133002,2.9,62.0,0.7,75.5
20230211_134501,3.1,62.5,0.8,75.0
20230211_140001,3.2,62.5,1.0,74.3
20230211_141502,3.3,59.0,1.1,74.4
20230211_143001,3.4,58.7,1.1,73.4
20230211_144501,3.7,60.0,1.4,72.3
20230211_150002,3.9,59.8,1.5,71.3
20230211_151501,4.0,56.2,1.6,71.4
20230211_153001,4.2,57.3,1.7,72.0
20230211_154502,4.1,58.2,1.8,71.9
20230211_160001,4.2,61.3,1.8,72.9
20230211_161501,4.3,58.7,1.9,74.1
20230211_163002,4.3,59.6,1.9,74.5
20230211_164501,4.2,60.5,1.9,74.9
20230211_170001,4.1,61.5,1.9,75.4
20230211_171502,3.9,62.4,1.9,75.8
20230211_173001,3.9,63.0,1.9,76.1
20230211_174501,3.6,63.5,1.9,76.2
20230211_180002,3.5,64.5,1.8,76.5
20230211_181501,3.3,65.3,1.8,76.7
20230211_183001,3.1,66.1,1.7,76.9
20230211_184501,3.0,66.2,1.7,77.0
20230211_190001,2.9,67.1,1.7,77.2
20230211_191501,2.8,67.9,1.7,77.3
20230211_193001,2.5,68.5,1.6,77.5
20230211_194501,2.4,69.2,1.5,77.9
20230211_200001,2.3,70.1,1.5,78.1
20230211_201502,2.2,71.4,1.4,78.5
20230211_203001,2.1,71.5,1.4,78.5
20230211_204501,2.1,72.1,1.4,78.9
20230211_210001,2.0,72.5,1.4,78.9
20230211_211501,2.0,73.0,1.4,79.1
20230211_213001,2.0,73.0,1.4,79.3
20230211_214501,2.0,73.2,1.4,79.3
20230211_220001,2.0,73.4,1.4,79.4
20230211_221501,1.9,73.7,1.4,79.3
20230211_223001,1.9,74.1,1.4,79.5
20230211_224501,1.9,74.2,1.4,79.6
20230211_230001,1.9,74.2,1.4,79.6
20230211_231501,1.9,73.9,1.4,79.8
20230211_233001,1.9,74.4,1.4,80.1
20230211_234501,1.9,75.1,1.4,80.1
