datetime,temp23,humi23,temp24,humi24
20230301_000001,0.2,71.7,1.0,75.9
20230301_001501,0.2,72.0,1.0,76.0
20230301_003001,0.1,72.2,1.0,76.1
20230301_004501,0.2,72.2,1.0,76.2
20230301_010001,0.1,72.5,1.0,76.3
20230301_011501,0.1,72.4,1.0,76.3
20230301_013002,0.0,72.3,1.0,76.4
20230301_014501,0.0,72.5,1.0,76.5
20230301_020001,0.0,72.2,1.0,76.4
20230301_021501,0.0,72.2,1.0,76.5
20230301_023001,0.0,72.1,1.0,76.4
20230301_024501,0.0,72.1,1.0,76.4
20230301_030002,0.0,72.3,1.0,76.5
20230301_031501,0.0,72.1,1.0,76.6
20230301_033001,-0.1,72.2,1.0,76.6
20230301_034502,-0.1,72.5,1.0,76.6
20230301_040001,-0.1,72.4,1.0,76.6
20230301_041501,-0.1,72.1,1.0,76.5
20230301_043002,-0.1,72.1,1.0,76.6
20230301_044501,-0.2,70.9,1.0,76.0
20230301_050001,-0.3,70.9,1.0,75.7
20230301_051502,-0.3,70.9,0.9,76.2
20230301_053001,-0.4,71.0,0.9,76.0
20230301_054501,-0.4,71.4,0.9,76.2
20230301_060002,-0.5,71.4,0.8,76.2
20230301_061501,-0.6,71.5,0.9,76.2
20230301_063001,-0.7,71.6,0.8,76.2
20230301_064501,-0.9,72.2,0.8,76.1
20230301_070002,-0.8,72.1,0.8,76.1
20230301_071501,-1.0,72.4,0.8,76.1
20230301_073001,-1.0,72.7,0.7,75.8
20230301_074502,-0.9,72.0,0.7,75.9
20230301_080001,-1.1,71.9,0.6,75.0
20230301_081501,-1.0,72.1,0.6,75.5
20230301_083002,-1.0,72.0,0.6,75.7
20230301_084501,-0.9,71.9,0.6,75.8
20230301_090001,-0.7,71.3,0.6,75.7
20230301_091502,-0.6,70.7,0.7,75.4
20230301_093001,-0.6,70.5,0.6,75.4
20230301_094501,-0.5,70.4,0.7,75.1
20230301_100002,-0.3,69.6,0.7,75.0
20230301_101501,0.0,68.5,0.8,74.3
20230301_103001,0.0,67.8,0.8,74.5
20230301_104502,0.2,68.1,0.8,74.1
20230301_110001,0.4,67.9,0.9,73.5
20230301_111501,0.6,68.0,1.0,73.6
20230301_113002,1.0,67.2,1.0,73.6
20230301_114501,1.6,63.6,1.3,72.5
20230301_120001,1.8,62.7,1.5,72.2
20230301_121502,1.8,62.5,1.6,71.7
20230301_123001,2.5,60.9,1.6,72.5
20230301_124501,2.6,61.7,1.7,72.6
20230301_130002,2.7,60.8,1.7,72.8
20230301_131501,3.0,61.1,1.7,73.4
20230301_133001,3.2,60.7,1.9,73.3
20230301_134502,3.3,60.1,1.9,73.3
20230301_140001,3.4,61.0,2.0,73.5
20230301_141501,3.6,60.5,2.1,73.5
20230301_143001,3.9,60.5,2.2,73.5
20230301_144501,3.9,60.7,2.2,73.9
20230301_150001,4.2,60.6,2.3,74.0
20230301_151502,4.2,60.4,2.4,74.1
20230301_153001,4.3,60.8,2.5,74.1
20230301_154501,4.5,60.8,2.5,74.3
20230301_160002,4.5,61.1,2.6,74.5
20230301_161501,4.7,61.1,2.7,74.5
20230301_163001,4.7,61.7,2.8,74.7
20230301_164502,4.7,62.1,2.9,75.0
20230301_170001,4.7,63.0,3.5,74.4
20230301_171501,4.7,63.4,3.3,74.7
20230301_173002,4.7,64.0,3.1,75.5
20230301_174501,4.6,65.0,3.1,75.7
20230301_180001,4.4,66.2,3.5,76.7
20230301_181502,4.1,67.5,3.7,75.2
20230301_183001,3.9,68.3,3.1,76.9
20230301_184501,3.7,69.0,3.0,77.2
20230301_190002,3.5,69.6,2.9,77.4
20230301_191501,3.3,70.6,2.8,77.6
20230301_193001,3.1,71.6,2.8,77.9
20230301_194502,3.0,71.6,2.7,78.0
20230301_200001,2.8,71.0,2.6,78.0
20230301_201501,2.5,70.7,2.5,78.1
20230301_203002,2.4,70.6,2.5,78.1
20230301_204501,2.3,71.8,2.4,78.2
20230301_210001,2.1,72.9,2.4,78.4
20230301_211502,2.0,74.3,2.4,79.0
20230301_213001,2.1,75.2,2.4,79.2
20230301_214501,2.1,75.1,2.4,79.4
20230301_220002,2.1,75.1,2.3,79.7
20230301_221501,2.0,75.2,2.3,79.7
20230301_223001,1.8,76.0,2.3,79.5
20230301_224502,1.5,76.9,2.3,79.4
20230301_230001,1.4,77.2,2.2,79.5
20230301_231501,1.2,75.7,2.2,79.5
20230301_233002,1.1,76.4,2.1,79.7
20230301_234501,0.9,75.8,2.1,79.8
