datetime,temp23,humi23,temp24,humi24
20230206_000002,0.6,86.0,2.1,87.8
20230206_001501,0.6,85.7,2.1,87.8
20230206_003001,0.6,86.1,2.0,87.8
20230206_004501,0.6,86.0,2.1,87.7
20230206_010001,0.5,86.2,2.0,87.7
20230206_011501,0.4,86.1,2.0,87.7
20230206_013001,0.4,84.8,2.0,87.6
20230206_014501,0.3,86.0,1.9,87.5
20230206_020001,0.2,84.8,1.9,87.6
20230206_021501,0.1,86.7,1.9,87.3
20230206_023001,0.0,86.1,1.9,87.4
20230206_024501,0.1,86.5,1.8,87.5
20230206_030001,0.0,86.5,1.8,87.3
20230206_031501,0.0,86.8,1.8,87.4
20230206_033001,0.0,86.8,1.8,87.2
20230206_034501,0.0,85.9,1.7,87.3
20230206_040001,-0.1,86.5,1.7,87.2
20230206_041501,-0.1,86.5,1.7,87.2
20230206_043001,-0.2,84.6,1.6,87.1
20230206_044501,-0.2,87.3,1.6,87.1
20230206_050001,-0.3,87.4,1.6,86.8
20230206_051501,-0.4,87.5,1.5,86.7
20230206_053001,-0.6,87.6,1.5,86.5
20230206_054501,-0.6,88.7,1.4,86.4
20230206_060001,-0.7,89.2,1.4,86.5
20230206_061501,-0.8,89.4,1.3,86.4
20230206_063001,-1.0,89.7,1.2,86.1
20230206_064501,-1.1,89.9,1.2,86.2
20230206_070002,-1.1,90.0,1.1,85.9
20230206_071501,-1.3,90.2,1.0,86.0
20230206_073001,-1.5,90.6,1.0,85.8
20230206_074502,-1.5,90.6,1.0,85.7
20230206_080001,-1.6,87.9,-0.6,84.8
20230206_081501,-1.8,89.4,0.4,83.6
20230206_083002,-1.7,89.3,0.5,84.0
20230206_084501,-1.8,89.1,0.5,84.2
20230206_090001,-1.5,88.1,0.5,84.4
20230206_091502,-1.3,87.2,0.6,84.4
20230206_093001,-1.1,85.6,0.6,84.4
20230206_094501,-1.1,84.7,0.5,84.5
20230206_100002,-0.5,81.6,0.6,85.0
20230206_101501,0.9,73.7,0.8,83.9
20230206_103001,2.4,64.4,1.0,82.4
20230206_104501,3.5,63.1,1.2,82.2
20230206_110001,3.0,63.7,1.3,82.4
20230206_111501,2.5,63.0,1.4,81.4
20230206_113001,2.0,67.3,1.4,81.6
20230206_114501,1.6,65.2,1.4,81.1
20230206_120001,1.2,65.7,1.4,80.0
20230206_121501,0.8,72.5,1.4,81.9
20230206_123001,0.8,77.0,1.3,82.6
20230206_124501,0.8,79.1,1.3,83.1
20230206_130001,0.8,79.8,1.3,83.1
20230206_131501,0.8,78.9,1.3,82.5
20230206_133001,0.7,76.5,1.4,81.9
20230206_134501,0.6,78.5,1.4,81.8
20230206_140002,0.5,75.8,1.4,82.0
20230206_141501,0.4,78.3,1.3,81.6
20230206_143001,0.4,81.0,1.3,82.0
20230206_144502,0.2,71.7,1.3,81.9
20230206_150001,0.3,80.3,1.3,81.5
20230206_151501,0.0,78.4,1.4,81.3
20230206_153002,0.2,81.1,1.3,81.6
20230206_154501,0.2,80.4,1.2,81.7
20230206_160001,0.2,79.8,1.3,81.5
20230206_161502,0.1,81.0,1.2,81.3
20230206_163001,0.0,79.0,1.2,81.1
20230206_164501,0.0,81.0,1.2,80.7
20230206_170002,0.0,78.2,0.8,70.8
20230206_171501,-0.1,80.8,1.0,76.8
20230206_173001,-0.1,79.3,1.1,78.1
20230206_174501,-0.2,80.1,1.1,78.6
20230206_180001,-0.2,81.3,1.1,79.4
20230206_181501,-0.2,79.5,1.1,79.9
20230206_183001,-0.3,80.2,1.1,80.0
20230206_184501,-0.3,81.7,1.1,80.0
20230206_190001,-0.4,80.0,1.1,80.5
20230206_191501,-0.4,82.0,1.1,80.8
20230206_193001,-0.5,80.5,1.1,80.8
20230206_194501,-0.7,74.9,1.0,80.4
20230206_200001,-0.7,79.1,1.0,80.5
20230206_201501,-0.8,78.0,1.0,80.4
20230206_203001,-0.9,77.7,1.0,80.6
20230206_204501,-1.1,75.4,1.0,80.4
20230206_210002,-1.3,74.5,0.8,79.7
20230206_211501,-1.3,76.0,0.8,79.8
20230206_213001,-1.4,79.5,0.8,79.8
20230206_214501,-1.5,78.9,0.7,79.9
20230206_220001,-1.7,77.6,0.6,79.5
20230206_221501,-1.7,81.9,0.6,79.8
20230206_223001,-1.8,80.7,0.5,80.2
20230206_224501,-2.0,81.1,0.5,80.0
20230206_230001,-2.1,82.7,0.4,80.2
20230206_231501,-2.4,79.1,0.4,79.9
20230206_233001,-2.4,77.0,0.3,79.7
20230206_234501,-2.6,77.0,0.2,79.6
