datetime,temp23,humi23,temp24,humi24
20221228_000001,0.9,92.2,3.3,93.1
20221228_001501,0.8,92.2,3.3,93.0
20221228_003001,0.6,92.2,3.2,93.1
20221228_004501,0.6,92.3,3.1,93.1
20221228_010001,0.5,92.5,3.1,93.1
20221228_011501,0.4,92.6,3.0,93.0
20221228_013001,0.3,92.8,3.0,93.1
20221228_014501,0.2,92.9,2.9,93.1
20221228_020001,0.2,92.9,2.8,93.2
20221228_021502,0.0,93.1,2.8,93.0
20221228_023001,0.0,93.1,2.8,93.0
20221228_024501,0.0,93.1,2.7,93.2
20221228_030001,-0.1,93.0,2.5,93.1
20221228_031501,-0.1,92.8,2.5,93.2
20221228_033001,-0.1,92.8,2.5,93.3
20221228_034501,-0.1,92.6,2.4,93.3
20221228_040001,-0.1,92.5,2.4,93.4
20221228_041501,-0.1,92.3,2.4,93.6
20221228_043001,-0.1,92.2,2.3,93.7
20221228_044501,-0.1,92.2,2.3,93.5
20221228_050001,-0.1,92.2,2.4,93.5
20221228_051501,-0.1,92.1,2.3,93.7
20221228_053001,0.0,92.0,2.3,93.9
20221228_054501,0.0,91.8,2.3,94.1
20221228_060001,0.0,91.7,2.3,93.8
20221228_061501,0.0,91.9,2.3,94.0
20221228_063001,0.0,92.0,2.3,93.9
20221228_064501,0.2,92.2,2.3,94.1
20221228_070002,0.2,91.9,2.3,93.8
20221228_071501,0.3,91.9,2.3,94.2
20221228_073001,0.4,91.7,2.3,94.0
20221228_074502,0.5,91.7,2.4,93.9
20221228_080001,0.5,91.5,2.4,93.9
20221228_081501,0.6,91.7,2.4,94.1
20221228_083002,0.6,91.5,2.4,94.2
20221228_084501,0.6,91.6,2.4,94.0
20221228_090001,0.7,91.5,2.5,94.0
20221228_091502,1.0,91.5,2.5,93.8
20221228_093001,1.1,91.0,2.5,94.0
20221228_094501,1.4,90.6,2.5,93.9
20221228_100002,1.5,89.9,2.6,93.7
20221228_101501,1.8,89.7,2.7,93.6
20221228_103001,2.1,88.3,2.7,93.5
20221228_104502,2.5,87.2,2.8,93.2
20221228_110001,2.9,85.8,2.9,93.0
20221228_111501,3.6,82.9,3.0,92.5
20221228_113002,4.3,77.6,3.1,92.2
20221228_114501,3.9,80.4,5.2,78.5
20221228_120001,3.9,79.5,5.4,77.0
20221228_121502,4.0,82.8,4.4,84.1
20221228_123001,4.3,79.6,4.0,87.1
20221228_124501,4.5,76.9,3.9,88.6
20221228_130001,4.5,78.4,3.9,88.9
20221228_131501,4.5,79.1,3.9,88.9
20221228_133001,4.7,77.4,3.9,89.0
20221228_134501,5.0,77.5,3.9,88.5
20221228_140001,5.0,72.6,4.0,87.8
20221228_141501,5.2,74.4,4.1,88.2
20221228_143001,5.3,76.5,4.2,87.9
20221228_144501,5.3,74.6,4.3,87.6
20221228_150001,5.3,75.9,4.3,87.5
20221228_151501,5.5,73.6,4.4,88.0
20221228_153001,5.5,73.1,4.5,87.8
20221228_154501,5.5,73.3,4.5,87.6
20221228_160001,5.6,71.9,4.5,87.7
20221228_161501,5.6,69.8,4.5,87.7
20221228_163001,5.7,67.2,4.6,87.7
20221228_164501,5.7,67.5,4.7,87.8
20221228_170001,5.5,67.0,4.7,87.9
20221228_171501,5.2,70.2,4.7,88.7
20221228_173001,5.0,71.1,4.5,88.8
20221228_174501,4.9,70.1,4.5,88.7
20221228_180001,4.7,72.8,4.5,89.0
20221228_181501,4.5,71.5,4.5,88.5
20221228_183001,4.3,71.9,4.4,88.9
20221228_184501,4.3,75.9,4.4,89.2
20221228_190001,4.1,75.2,4.3,89.0
20221228_191501,4.0,75.5,4.3,88.5
20221228_193001,3.9,78.6,4.3,89.2
20221228_194501,3.7,78.0,4.2,89.4
20221228_200001,3.6,76.5,4.2,88.8
20221228_201501,3.5,78.7,4.2,89.3
20221228_203001,3.3,79.0,4.1,89.8
20221228_204502,3.2,79.3,4.1,90.0
20221228_210001,3.2,77.0,4.1,89.9
20221228_211501,3.1,76.6,4.0,89.4
20221228_213002,3.0,81.4,4.0,90.2
20221228_214501,2.9,78.3,4.0,90.3
20221228_220001,2.8,80.5,3.9,90.4
20221228_221502,2.7,82.7,3.9,90.5
20221228_223001,2.5,83.7,3.9,90.8
20221228_224501,2.5,84.4,3.8,90.9
20221228_230002,2.4,84.6,3.7,90.9
20221228_231501,2.3,83.2,3.7,91.0
20221228_233001,2.3,82.7,3.7,91.0
20221228_234502,2.3,81.9,3.6,90.9
