datetime,temp23,humi23,temp24,humi24
20230416_000001,6.1,77.4,7.4,78.7
20230416_001501,6.0,78.2,7.3,78.9
20230416_003001,5.9,78.2,7.3,78.9
20230416_004501,5.9,78.1,7.2,78.7
20230416_010001,5.8,78.9,7.2,79.0
20230416_011501,5.7,79.0,7.2,79.0
20230416_013001,5.7,79.0,7.2,79.0
20230416_014501,5.6,78.8,7.1,79.1
20230416_020001,5.5,78.9,7.0,79.1
20230416_021502,5.5,79.8,7.0,79.0
20230416_023001,5.5,79.3,7.0,79.0
20230416_024501,5.4,79.3,7.0,79.1
20230416_030001,5.4,79.6,6.9,79.1
20230416_031501,5.3,80.0,6.9,79.3
20230416_033001,5.3,79.8,6.8,79.5
20230416_034501,5.3,80.1,6.8,79.5
20230416_040001,5.2,80.3,6.8,79.4
20230416_041501,5.3,79.7,6.8,79.5
20230416_043001,5.2,80.7,6.8,79.4
20230416_044501,5.1,80.0,6.7,79.5
20230416_050001,5.1,80.4,6.7,79.5
20230416_051501,5.1,80.0,6.7,79.7
20230416_053001,5.1,80.0,6.6,79.7
20230416_054501,5.1,80.7,6.6,79.7
20230416_060001,5.0,81.0,6.6,80.0
20230416_061501,5.0,80.7,6.6,80.0
20230416_063001,5.0,80.5,6.6,80.1
20230416_064501,5.0,81.8,6.5,80.3
20230416_070002,5.0,80.9,6.5,80.5
20230416_071501,5.0,81.3,6.5,80.5
20230416_073001,5.0,81.4,6.5,80.7
20230416_074501,5.0,81.2,6.4,81.1
20230416_080001,5.1,81.2,6.4,81.0
20230416_081501,5.1,81.3,6.4,81.6
20230416_083001,5.3,81.3,6.4,81.7
20230416_084501,5.5,80.8,6.4,81.5
20230416_090001,5.5,81.5,6.5,81.9
20230416_091502,5.5,82.0,6.5,81.8
20230416_093001,5.6,81.0,6.5,81.8
20230416_094501,5.7,80.7,6.6,81.7
20230416_100002,5.8,80.7,6.6,81.7
20230416_101501,5.8,80.8,6.6,82.0
20230416_103001,6.0,80.7,6.6,82.3
20230416_104501,6.5,81.5,6.7,81.8
20230416_110001,6.7,79.0,6.8,82.0
20230416_111501,7.3,76.2,6.9,82.0
20230416_113001,7.7,75.8,7.0,81.7
20230416_114501,7.8,75.3,7.2,81.5
20230416_120001,7.8,75.5,7.2,81.2
20230416_121502,8.3,74.0,7.4,81.0
20230416_123001,8.4,73.6,7.5,80.7
20230416_124501,8.6,73.4,7.5,80.3
20230416_130002,8.6,72.7,7.7,80.2
20230416_131501,8.8,72.5,7.8,79.9
20230416_133001,9.0,72.2,8.0,79.6
20230416_134501,8.9,73.4,8.0,79.1
20230416_140001,8.9,72.5,8.1,79.2
20230416_141501,9.0,72.9,8.1,78.8
20230416_143002,9.0,71.2,8.2,78.8
20230416_144501,9.0,72.6,8.2,78.7
20230416_150001,9.0,73.8,8.2,78.7
20230416_151502,8.9,74.0,8.3,78.8
20230416_153001,8.9,74.2,8.3,78.9
20230416_154501,8.8,74.5,8.2,80.0
20230416_160001,8.8,74.5,8.3,79.4
20230416_161501,8.7,74.6,8.3,79.3
20230416_163001,8.6,75.2,8.3,79.6
20230416_164501,8.8,75.0,8.4,79.5
20230416_170001,8.9,75.0,8.4,80.0
20230416_171501,9.0,73.8,8.4,79.6
20230416_173001,8.9,74.3,8.5,79.7
20230416_174501,8.8,74.8,8.5,79.7
20230416_180001,8.9,74.0,8.5,79.4
20230416_181501,9.0,73.9,8.5,79.6
20230416_183002,8.9,74.2,8.5,79.4
20230416_184501,8.8,74.4,8.5,79.4
20230416_190001,8.7,74.5,8.6,79.4
20230416_191501,8.6,74.8,8.5,79.5
20230416_193002,8.4,75.6,8.5,79.5
20230416_194502,8.3,75.9,8.5,79.4
20230416_200001,8.2,76.1,8.5,79.3
20230416_201501,8.1,76.3,8.4,79.2
20230416_203001,8.1,76.2,8.4,79.0
20230416_204502,7.9,76.8,8.4,79.0
20230416_210001,7.8,76.6,8.4,79.0
20230416_211501,7.7,76.8,8.3,79.2
20230416_213001,7.8,76.3,8.3,79.3
20230416_214501,7.6,76.2,8.3,79.3
20230416_220001,7.5,77.2,8.3,79.3
20230416_221501,7.4,77.4,8.2,79.3
20230416_223001,7.2,77.0,8.2,79.5
20230416_224502,7.1,77.2,8.1,79.5
20230416_230001,7.0,77.3,8.1,79.6
20230416_231501,6.9,77.3,8.0,79.6
20230416_233001,6.8,77.4,8.0,79.4
20230416_234501,6.6,77.7,7.9,79.5
