datetime,temp23,humi23,temp24,humi24
20230111_000002,0.6,82.5,3.0,83.8
20230111_001501,0.6,82.7,3.0,83.7
20230111_003001,0.6,81.0,3.0,83.7
20230111_004501,0.6,80.5,2.9,83.7
20230111_010001,0.6,77.5,2.9,84.0
20230111_011501,0.7,81.3,2.9,83.7
20230111_013001,0.8,81.2,2.9,83.7
20230111_014501,0.8,81.0,2.9,83.7
20230111_020001,0.8,79.5,2.9,83.9
20230111_021501,0.8,79.5,2.9,83.9
20230111_023001,1.0,80.2,3.0,83.9
20230111_024501,1.1,80.1,3.0,84.0
20230111_030001,1.2,82.6,3.0,83.9
20230111_031501,1.2,82.8,3.0,83.7
20230111_033001,1.2,84.9,3.0,84.1
20230111_034501,1.2,84.6,3.0,84.6
20230111_040001,1.4,86.0,3.0,84.9
20230111_041501,1.4,85.8,3.1,85.4
20230111_043001,1.6,85.8,3.1,85.7
20230111_044501,1.7,85.0,3.1,85.9
20230111_050001,1.8,85.5,3.1,85.8
20230111_051501,1.9,84.9,3.1,86.0
20230111_053001,2.1,84.9,3.1,86.2
20230111_054501,2.1,84.2,3.2,86.1
20230111_060001,2.2,85.0,3.3,86.2
20230111_061501,2.3,84.8,3.3,86.0
20230111_063001,2.3,84.4,3.3,86.1
20230111_064501,2.4,83.9,3.3,86.0
20230111_070002,2.4,84.5,3.3,86.0
20230111_071501,2.5,84.6,3.4,86.0
20230111_073001,2.5,84.5,3.4,86.1
20230111_074502,2.5,85.2,3.5,86.0
20230111_080001,2.7,84.7,3.5,86.0
20230111_081501,2.8,84.7,3.5,86.2
20230111_083002,2.7,85.5,3.5,86.2
20230111_084501,2.9,85.1,3.5,86.2
20230111_090001,3.0,84.3,3.6,86.1
20230111_091502,3.1,84.0,3.5,87.0
20230111_093001,3.3,83.2,3.6,86.8
20230111_094501,3.5,82.3,3.6,86.8
20230111_100001,4.0,79.4,3.7,86.5
20230111_101501,4.2,78.4,3.9,86.2
20230111_103001,4.7,77.3,3.9,86.1
20230111_104501,5.3,75.2,4.0,85.9
20230111_110001,5.6,74.9,4.1,85.7
20230111_111501,5.8,74.8,4.2,85.6
20230111_113001,6.5,72.3,4.3,85.7
20230111_114501,6.5,73.7,4.4,85.5
20230111_120001,6.7,74.0,4.5,85.5
20230111_121501,7.3,72.2,4.7,85.4
20230111_123001,7.5,71.8,4.8,85.4
20230111_124501,7.6,71.9,5.0,84.9
20230111_130001,7.8,71.9,5.0,84.8
20230111_131501,7.8,71.9,5.2,85.2
20230111_133001,7.8,71.7,5.3,85.2
20230111_134501,7.6,72.9,5.5,85.2
20230111_140001,7.5,73.9,5.7,85.0
20230111_141501,7.8,74.3,5.8,85.1
20230111_143001,7.8,73.3,6.0,85.0
20230111_144501,8.0,74.0,6.1,85.3
20230111_150001,7.9,74.3,6.3,85.3
20230111_151501,8.0,73.6,6.4,85.1
20230111_153001,8.0,75.6,6.5,87.3
20230111_154501,7.8,78.1,6.6,89.6
20230111_160001,7.8,80.7,6.6,90.6
20230111_161501,7.8,79.9,6.6,91.5
20230111_163001,7.6,82.5,6.6,91.9
20230111_164501,7.5,81.7,6.6,92.3
20230111_170001,7.5,81.8,6.6,92.5
20230111_171501,7.5,81.6,6.6,93.3
20230111_173001,7.4,82.0,6.6,93.5
20230111_174501,7.2,84.2,6.6,94.0
20230111_180001,7.2,83.2,6.6,93.7
20230111_181501,7.2,82.9,6.6,94.3
20230111_183002,7.2,83.6,6.6,94.1
20230111_184501,7.2,83.5,6.6,94.2
20230111_190001,7.2,84.4,6.6,94.7
20230111_191502,7.1,84.9,6.6,95.3
20230111_193001,7.0,84.6,6.5,94.3
20230111_194501,6.9,84.1,6.5,93.6
20230111_200002,6.9,84.0,6.5,93.8
20230111_201501,6.8,83.7,6.4,93.2
20230111_203001,6.7,83.7,6.4,92.7
20230111_204502,6.6,83.9,6.4,92.6
20230111_210001,6.6,83.8,6.4,92.7
20230111_211501,6.5,84.0,6.4,93.2
20230111_213002,6.4,84.3,6.3,93.4
20230111_214501,6.3,84.5,6.3,93.4
20230111_220001,6.3,85.0,6.3,93.7
20230111_221502,6.2,84.9,6.3,93.9
20230111_223001,6.2,84.6,6.3,93.9
20230111_224501,6.1,85.2,6.2,93.7
20230111_230002,6.0,84.7,6.2,93.6
20230111_231501,6.0,85.0,6.2,93.6
20230111_233001,6.0,84.9,6.2,93.6
20230111_234501,5.9,85.1,6.2,93.3
