datetime,temp23,humi23,temp24,humi24
20230115_000001,7.2,55.7,6.6,75.7
20230115_001502,7.2,54.5,6.6,74.7
20230115_003001,7.2,53.7,6.6,75.2
20230115_004501,7.4,51.5,6.6,73.3
20230115_010001,7.2,55.7,6.7,74.6
20230115_011501,7.1,56.9,6.6,74.2
20230115_013001,7.0,56.9,6.6,74.1
20230115_014501,6.9,59.0,6.6,75.4
20230115_020001,6.9,58.6,6.6,75.2
20230115_021501,6.8,59.2,6.6,75.7
20230115_023001,6.8,58.7,6.6,75.3
20230115_024501,6.9,58.6,6.6,74.0
20230115_030001,6.7,61.9,6.5,75.0
20230115_031501,6.5,63.5,6.5,76.0
20230115_033001,6.6,62.4,6.5,75.8
20230115_034501,6.7,61.5,6.5,75.3
20230115_040001,6.5,62.9,6.5,76.3
20230115_041501,6.4,63.6,6.4,76.7
20230115_043001,6.4,64.3,6.4,77.1
20230115_044501,6.3,67.5,6.4,77.7
20230115_050001,6.3,67.5,6.4,78.0
20230115_051501,6.4,66.5,6.4,78.0
20230115_053001,6.4,66.6,6.4,78.0
20230115_054501,6.4,65.7,6.4,78.1
20230115_060001,6.4,66.6,6.4,78.3
20230115_061501,6.4,66.8,6.4,78.6
20230115_063002,6.2,67.4,6.4,78.8
20230115_064501,6.2,67.9,6.4,79.0
20230115_070001,6.2,70.3,6.4,79.3
20230115_071502,6.7,70.4,6.5,79.2
20230115_073001,7.0,72.4,6.8,80.1
20230115_074501,7.1,72.5,6.9,80.5
20230115_080002,7.2,72.5,7.0,81.0
20230115_081501,7.4,73.5,7.2,81.5
20230115_083001,7.5,73.1,7.4,81.9
20230115_084502,7.6,74.8,7.4,82.3
20230115_090001,7.8,73.9,7.5,82.5
20230115_091501,8.0,73.2,7.5,82.4
20230115_093002,8.1,72.7,7.6,81.9
20230115_094501,8.3,72.2,7.6,81.9
20230115_100001,8.5,72.2,7.8,81.9
20230115_101502,8.7,71.4,7.8,81.5
20230115_103001,8.6,70.7,8.0,80.8
20230115_104501,8.9,69.1,8.1,79.7
20230115_110002,9.2,68.3,8.3,78.3
20230115_111501,9.2,66.7,8.5,76.9
20230115_113001,8.4,71.4,8.4,79.3
20230115_114501,8.0,72.0,8.1,79.3
20230115_120001,7.8,71.8,8.0,79.4
20230115_121501,7.6,70.2,7.8,79.3
20230115_123001,7.6,72.8,7.7,79.4
20230115_124501,7.4,72.9,7.6,79.4
20230115_130001,7.2,73.7,7.5,80.0
20230115_131501,7.0,74.3,7.4,80.5
20230115_133001,7.0,74.6,7.2,80.7
20230115_134501,6.9,74.9,7.2,81.2
20230115_140001,6.7,75.3,7.1,81.4
20230115_141501,6.6,75.7,7.0,81.7
20230115_143001,6.6,75.9,7.0,82.0
20230115_144501,6.4,76.6,7.0,82.3
20230115_150001,6.3,76.2,6.8,81.2
20230115_151501,6.2,75.5,6.8,80.8
20230115_153001,6.0,75.3,6.8,80.3
20230115_154501,5.9,75.0,6.2,80.5
20230115_160001,5.6,74.9,6.5,79.9
20230115_161501,5.5,76.5,6.5,80.1
20230115_163001,5.5,77.2,6.5,80.3
20230115_164501,5.1,78.1,6.4,80.5
20230115_170001,5.0,78.5,6.1,81.3
20230115_171501,4.9,78.4,6.2,81.1
20230115_173001,4.7,78.6,6.2,81.5
20230115_174501,4.8,78.6,6.0,80.8
20230115_180149,4.7,78.0,5.9,80.1
20230115_181501,4.5,77.8,5.8,79.5
20230115_183001,4.5,77.4,5.8,79.0
20230115_184501,4.4,76.7,5.6,78.2
20230115_190001,4.2,76.6,5.6,77.6
20230115_191501,4.1,75.2,5.5,77.0
20230115_193001,4.0,76.2,5.5,77.1
20230115_194501,3.9,76.9,5.4,77.3
20230115_200150,3.8,76.5,5.4,77.3
20230115_201502,3.6,77.6,5.3,77.6
20230115_203001,3.5,77.5,5.3,77.9
20230115_204502,3.3,77.9,5.3,77.9
20230115_210001,3.1,77.5,5.1,77.8
20230115_211502,3.1,78.5,5.0,77.8
20230115_213001,3.0,78.4,5.0,77.4
20230115_214501,3.0,78.4,5.0,77.5
20230115_220002,2.8,77.3,4.9,77.5
20230115_221501,2.7,79.0,4.8,77.9
20230115_223001,2.5,79.3,4.7,78.3
20230115_224502,2.4,79.7,4.7,78.7
20230115_230001,2.3,79.0,4.6,78.6
20230115_231501,2.2,79.9,4.5,79.0
20230115_233002,2.0,79.8,4.5,79.1
20230115_234501,2.0,80.7,4.4,79.1
