datetime,temp23,humi23,temp24,humi24
20230117_000001,1.7,75.4,3.1,77.6
20230117_001501,1.6,75.9,3.0,77.5
20230117_003002,1.5,75.2,3.0,77.3
20230117_004501,1.5,76.2,3.0,77.3
20230117_010001,1.4,76.9,2.9,77.5
20230117_011502,1.3,77.1,2.9,77.6
20230117_013001,1.2,77.7,2.8,77.9
20230117_014501,1.2,77.8,2.8,77.8
20230117_020002,1.3,77.8,2.7,77.5
20230117_021501,1.2,77.3,2.7,77.7
20230117_023001,1.1,77.5,2.7,77.6
20230117_024501,1.1,76.2,2.6,77.0
20230117_030001,1.0,76.6,2.5,76.4
20230117_031501,1.0,76.8,2.5,76.2
20230117_033001,0.8,76.8,2.5,76.4
20230117_034501,0.8,76.7,2.5,76.5
20230117_040001,0.8,77.0,2.4,76.1
20230117_041501,0.6,77.3,2.4,76.7
20230117_043001,0.6,77.8,2.3,76.8
20230117_044501,0.4,78.2,2.4,77.0
20230117_050001,0.3,78.1,2.3,77.4
20230117_051501,0.1,78.8,2.3,77.8
20230117_053001,0.0,79.8,2.2,77.9
20230117_054501,0.0,79.7,2.1,78.0
20230117_060001,0.0,79.6,2.1,78.2
20230117_061501,-0.1,80.1,2.1,78.1
20230117_063001,-0.1,80.4,2.0,78.1
20230117_064502,-0.1,81.1,2.0,78.0
20230117_070001,-0.1,80.2,2.0,78.0
20230117_071501,-0.2,80.3,2.0,78.0
20230117_073001,-0.4,80.7,1.9,78.6
20230117_074501,-0.4,80.2,1.8,77.5
20230117_080001,-0.5,80.3,1.8,78.1
20230117_081501,-0.5,80.7,1.7,78.7
20230117_083001,-0.6,81.0,1.7,78.9
20230117_084501,-0.7,81.5,1.7,79.0
20230117_090001,-0.7,80.5,1.6,79.2
20230117_091501,-0.4,79.3,1.6,79.2
20230117_093001,-0.5,79.3,1.6,79.3
20230117_094501,0.0,76.3,1.6,79.3
20230117_100001,0.4,75.8,1.6,79.2
20230117_101501,0.4,75.5,1.6,79.2
20230117_103002,2.7,66.2,1.9,77.4
20230117_104501,2.5,63.4,2.2,76.2
20230117_110001,3.0,61.1,2.3,75.9
20230117_111501,4.4,56.5,2.3,76.8
20230117_113001,4.1,55.4,2.4,75.5
20230117_114501,4.1,55.2,2.5,74.8
20230117_120001,3.9,57.0,2.5,75.4
20230117_121501,3.3,56.3,2.7,73.2
20230117_123001,2.7,55.5,2.7,70.5
20230117_124502,2.8,57.0,2.6,71.0
20230117_130001,2.8,56.3,2.6,69.5
20230117_131501,2.8,57.7,2.7,69.2
20230117_133002,2.7,58.2,2.7,68.9
20230117_134501,2.7,58.9,2.7,69.0
20230117_140001,2.8,59.0,2.7,68.7
20230117_141501,2.8,59.2,2.8,69.0
20230117_143001,2.7,60.0,2.8,69.9
20230117_144501,2.7,60.7,2.8,69.8
20230117_150002,2.8,61.1,2.8,69.7
20230117_151501,2.9,60.9,2.8,70.5
20230117_153001,2.8,61.6,2.8,70.2
20230117_154502,2.5,63.5,2.8,70.9
20230117_160001,2.3,64.8,2.7,71.3
20230117_161501,2.2,65.6,2.7,72.2
20230117_163002,2.1,66.4,2.7,72.3
20230117_164501,2.0,67.9,2.7,73.6
20230117_170001,1.9,68.6,2.7,74.5
20230117_171501,1.7,68.0,2.6,74.1
20230117_173001,1.6,69.0,2.6,75.1
20230117_174501,1.5,69.8,2.5,75.5
20230117_180001,1.4,70.1,2.5,75.8
20230117_181501,1.4,70.4,2.5,76.0
20230117_183001,1.4,70.8,2.5,76.3
20230117_184502,1.4,71.5,2.3,74.8
20230117_190001,1.4,71.6,2.5,75.8
20230117_191501,1.4,71.6,2.5,76.4
20230117_193002,1.3,72.0,2.5,76.5
20230117_194501,1.2,72.5,2.5,76.7
20230117_200001,1.1,72.8,2.5,76.9
20230117_201502,1.1,73.2,2.5,77.1
20230117_203001,1.1,73.6,2.4,77.3
20230117_204501,1.1,73.4,2.5,77.4
20230117_210002,1.0,74.0,2.4,77.5
20230117_211501,1.0,74.3,2.4,77.6
20230117_213001,1.0,74.8,2.4,77.7
20230117_214502,0.8,75.0,2.4,77.8
20230117_220001,0.8,75.7,2.4,77.9
20230117_221501,0.7,75.7,2.3,78.2
20230117_223002,0.7,76.3,2.3,78.4
20230117_224501,0.6,76.1,2.3,78.3
20230117_230001,0.6,76.4,2.3,78.5
20230117_231502,0.5,76.7,2.2,78.6
20230117_233001,0.4,77.0,2.2,78.7
20230117_234501,0.4,77.5,2.2,78.7
