datetime,temp23,humi23,temp24,humi24
20230315_000001,5.0,75.1,6.9,74.4
20230315_001501,4.9,75.1,6.8,74.4
20230315_003002,4.7,74.6,6.8,74.5
20230315_004501,4.5,75.5,6.7,74.7
20230315_010001,4.4,75.4,6.6,74.9
20230315_011502,4.4,76.2,6.5,75.2
20230315_013001,4.4,76.2,6.5,75.4
20230315_014501,4.3,77.0,6.4,75.9
20230315_020002,4.1,78.4,6.3,76.4
20230315_021501,3.6,80.0,6.3,76.4
20230315_023001,3.5,79.5,6.1,76.2
20230315_024502,3.3,80.6,6.0,76.4
20230315_030001,3.3,80.0,5.9,76.4
20230315_031501,3.3,79.7,5.8,76.6
20230315_033001,3.2,80.2,5.7,76.7
20230315_034501,3.2,80.3,5.6,76.8
20230315_040001,3.1,79.9,5.5,77.0
20230315_041502,2.9,80.8,5.3,76.9
20230315_043001,2.6,81.3,5.3,77.0
20230315_044501,2.5,81.4,5.1,77.1
20230315_050002,2.5,81.2,5.0,77.0
20230315_051501,2.3,82.0,5.0,77.0
20230315_053001,2.3,81.7,4.9,77.0
20230315_054501,2.2,82.0,4.8,77.1
20230315_060001,2.1,81.8,4.7,77.1
20230315_061501,2.0,81.9,4.7,77.1
20230315_063001,1.9,82.0,4.5,77.2
20230315_064501,1.9,82.3,4.5,77.4
20230315_070001,1.8,82.0,4.4,77.2
20230315_071501,1.8,82.5,4.3,77.5
20230315_073002,1.7,82.1,4.3,77.4
20230315_074501,1.7,81.1,4.2,77.3
20230315_080001,2.8,77.0,4.1,77.5
20230315_081502,2.9,76.6,4.3,76.8
20230315_083001,2.5,78.1,4.3,76.5
20230315_084501,3.1,76.2,4.2,76.6
20230315_090002,3.0,75.2,4.2,76.5
20230315_091501,3.3,74.7,4.2,76.3
20230315_093001,3.5,73.7,4.3,76.3
20230315_094502,4.4,70.5,4.4,75.5
20230315_100001,4.1,70.9,4.6,74.7
20230315_101501,4.3,68.9,4.7,73.5
20230315_103002,5.3,65.1,4.7,72.4
20230315_104501,6.5,60.9,5.0,71.5
20230315_110001,6.4,60.0,5.2,70.8
20230315_111502,6.3,60.1,5.3,69.3
20230315_113001,6.3,59.5,5.3,69.3
20230315_114501,6.4,59.7,5.4,68.8
20230315_120002,6.9,52.8,5.4,66.7
20230315_121501,7.5,55.0,5.5,67.3
20230315_123001,7.5,53.9,5.6,66.0
20230315_124502,7.3,52.8,5.7,63.7
20230315_130001,7.0,55.1,5.8,62.3
20230315_131501,7.4,55.0,5.8,61.7
20230315_133002,7.2,49.7,5.8,61.1
20230315_134501,7.2,54.4,5.8,61.4
20230315_140001,7.1,51.7,5.8,60.9
20230315_141502,7.3,53.0,5.9,60.9
20230315_143001,7.2,49.2,5.9,60.6
20230315_144501,7.5,50.1,6.0,60.7
20230315_150002,7.4,50.9,6.1,59.7
20230315_151501,7.4,49.5,6.1,59.3
20230315_153001,7.2,51.7,6.1,59.6
20230315_154502,7.2,51.7,6.1,59.6
20230315_160001,7.2,52.2,6.1,59.3
20230315_161501,7.0,52.2,6.1,59.7
20230315_163002,6.9,50.1,6.1,60.0
20230315_164501,7.0,51.1,6.1,60.1
20230315_170001,6.8,49.2,6.1,60.4
20230315_171502,6.5,53.8,6.1,60.9
20230315_173001,6.2,57.0,6.1,63.5
20230315_174501,6.0,57.9,6.0,64.3
20230315_180001,5.8,59.1,6.0,64.8
20230315_181501,5.8,59.7,6.0,65.7
20230315_183001,5.7,60.5,5.9,66.5
20230315_184501,5.5,61.0,5.9,66.8
20230315_190001,5.5,61.5,5.9,67.0
20230315_191501,5.3,62.1,5.8,67.8
20230315_193001,5.2,62.2,5.6,68.0
20230315_194501,5.1,63.0,5.7,68.2
20230315_200001,4.9,64.3,5.7,68.5
20230315_201501,4.7,65.6,5.7,69.1
20230315_203002,4.6,65.4,5.6,69.8
20230315_204501,4.5,66.0,5.6,70.3
20230315_210001,4.5,66.8,5.5,70.6
20230315_211501,4.3,67.6,5.5,71.0
20230315_213001,4.2,68.0,5.5,71.4
20230315_214501,4.1,68.5,5.4,71.9
20230315_220002,4.0,69.7,5.3,72.2
20230315_221501,3.9,69.6,5.3,72.6
20230315_223001,3.8,69.9,5.3,73.0
20230315_224502,3.7,70.3,5.3,72.9
20230315_230001,3.6,70.7,5.1,73.3
20230315_231501,3.4,71.4,5.1,73.5
20230315_233002,3.3,71.7,5.0,74.0
20230315_234501,3.2,72.2,5.0,74.4
