datetime,temp23,humi23,temp24,humi24
20230402_000002,7.6,71.4,8.6,73.5
20230402_001501,7.6,71.4,8.6,73.8
20230402_003001,7.6,71.6,8.6,73.7
20230402_004502,7.5,71.7,8.5,74.0
20230402_010001,7.5,71.8,8.5,74.0
20230402_011501,7.5,71.8,8.5,74.0
20230402_013002,7.4,72.0,8.4,73.9
20230402_014501,7.4,72.0,8.4,74.1
20230402_020001,7.3,72.3,8.4,74.2
20230402_021502,7.2,72.1,8.3,74.2
20230402_023001,7.2,72.5,8.3,74.4
20230402_024501,7.2,72.6,8.3,74.2
20230402_030002,7.0,72.7,8.2,74.4
20230402_031501,7.0,72.8,8.2,74.5
20230402_033001,7.0,73.2,8.1,74.6
20230402_034501,7.0,73.0,8.1,74.6
20230402_040001,6.9,73.2,8.0,74.7
20230402_041501,6.9,73.5,8.0,74.9
20230402_043001,6.9,73.6,8.0,75.0
20230402_044501,6.8,73.6,8.0,75.2
20230402_050001,6.8,74.0,8.0,75.2
20230402_051501,6.8,74.0,7.9,75.3
20230402_053001,6.7,74.2,7.9,75.3
20230402_054501,6.7,74.2,7.9,75.3
20230402_060002,6.6,74.1,7.8,75.3
20230402_061501,6.6,74.5,7.8,75.3
20230402_063001,6.5,74.7,7.8,75.4
20230402_064501,6.5,74.6,7.8,75.5
20230402_070002,6.5,74.8,7.8,75.6
20230402_071501,6.4,75.0,7.8,75.6
20230402_073001,6.4,74.8,7.6,75.7
20230402_074501,6.4,75.0,7.6,75.8
20230402_080001,6.4,75.0,7.6,75.8
20230402_081501,6.4,75.0,7.6,75.9
20230402_083002,6.3,75.1,7.6,76.0
20230402_084501,6.4,75.3,7.5,76.1
20230402_090001,6.5,74.8,7.5,76.2
20230402_091502,6.6,74.5,7.5,76.4
20230402_093001,6.7,74.3,7.5,76.5
20230402_094501,6.9,74.0,7.6,76.5
20230402_100002,7.0,73.6,7.6,76.5
20230402_101501,7.1,73.8,7.7,76.7
20230402_103001,7.4,73.5,8.1,76.1
20230402_104502,7.4,73.6,7.9,76.6
20230402_110001,7.8,72.3,8.0,76.6
20230402_111501,8.3,70.9,8.0,76.6
20230402_113002,8.8,69.2,8.2,76.6
20230402_114501,9.0,69.0,8.3,76.5
20230402_120001,9.0,69.4,8.4,76.4
20230402_121502,9.1,69.5,8.5,76.2
20230402_123001,9.5,68.4,8.6,76.0
20230402_124501,10.2,65.8,8.8,75.8
20230402_130002,10.2,65.0,8.9,74.8
20230402_131501,10.3,65.2,9.0,74.6
20230402_133001,10.1,66.9,9.1,74.7
20230402_134502,10.3,67.4,9.2,75.2
20230402_140001,10.7,67.8,9.2,75.9
20230402_141501,11.1,64.3,9.4,75.4
20230402_143002,11.4,62.5,9.6,74.7
20230402_144501,11.4,63.1,9.7,74.2
20230402_150001,10.8,68.3,9.7,74.8
20230402_151502,10.6,72.8,9.7,75.8
20230402_153001,10.7,74.1,9.7,76.5
20230402_154501,10.5,73.8,9.7,77.1
20230402_160002,10.5,74.3,9.6,77.7
20230402_161501,10.2,72.5,9.6,78.5
20230402_163001,10.1,74.3,9.6,79.0
20230402_164502,10.0,74.9,9.5,79.4
20230402_170001,9.6,74.6,9.5,79.3
20230402_171501,9.7,74.3,9.4,79.4
20230402_173002,9.6,74.8,9.4,79.4
20230402_174501,9.6,74.4,9.4,79.8
20230402_180001,9.2,75.8,9.4,80.0
20230402_181502,9.0,76.0,9.4,80.0
20230402_183001,8.8,76.8,9.4,80.2
20230402_184501,8.7,76.8,9.3,80.1
20230402_190002,8.5,77.8,9.3,80.4
20230402_191501,8.2,78.1,9.2,80.3
20230402_193001,8.0,77.3,9.2,80.0
20230402_194501,7.8,77.0,9.2,79.8
20230402_200001,7.8,77.0,9.0,79.5
20230402_201501,7.5,77.0,9.0,79.3
20230402_203001,7.0,76.5,8.9,78.9
20230402_204501,7.2,77.1,8.9,78.6
20230402_210001,6.9,75.5,8.8,78.2
20230402_211501,6.6,73.0,8.6,77.6
20230402_213001,6.4,69.8,8.6,76.2
20230402_214501,6.4,74.2,8.5,76.6
20230402_220002,6.2,76.8,8.4,76.5
20230402_221501,6.2,76.1,8.3,76.5
20230402_223001,5.8,74.9,8.3,76.2
20230402_224501,5.9,75.2,8.2,76.1
20230402_230001,5.2,71.7,8.1,75.9
20230402_231501,5.0,76.2,8.0,75.5
20230402_233001,5.3,77.2,7.9,75.5
20230402_234501,5.0,74.3,7.8,75.2
