datetime,temp23,humi23,temp24,humi24
20230207_000001,-2.7,77.8,0.2,79.6
20230207_001501,-2.6,80.9,0.1,79.6
20230207_003001,-2.8,81.1,0.0,79.7
20230207_004501,-2.8,80.5,0.0,79.8
20230207_010002,-3.0,79.3,0.0,80.0
20230207_011501,-3.0,83.4,-0.1,80.0
20230207_013001,-3.5,79.8,-0.1,79.9
20230207_014502,-3.6,82.3,-0.2,79.7
20230207_020001,-3.4,83.0,-0.2,79.9
20230207_021501,-3.3,85.1,-0.2,80.0
20230207_023002,-3.5,83.7,-0.3,80.2
20230207_024501,-3.6,83.4,-0.4,80.0
20230207_030001,-3.8,81.8,-0.4,79.8
20230207_031502,-3.8,84.9,-0.5,79.9
20230207_033001,-4.0,82.5,-0.5,79.8
20230207_034501,-4.0,80.2,-0.5,79.6
20230207_040002,-4.3,80.4,-0.7,79.1
20230207_041501,-4.3,82.4,-0.7,78.9
20230207_043001,-4.4,83.7,-0.7,79.0
20230207_044502,-4.3,84.2,-0.8,79.0
20230207_050001,-4.3,84.8,-0.9,79.1
20230207_051501,-4.2,84.9,-0.9,79.2
20230207_053001,-4.2,85.8,-1.0,79.5
20230207_054501,-4.5,84.6,-1.0,79.3
20230207_060001,-4.6,85.4,-1.1,79.4
20230207_061501,-4.6,84.0,-1.1,79.3
20230207_063002,-4.6,84.9,-1.1,79.5
20230207_064501,-4.6,86.3,-1.2,79.6
20230207_070001,-4.7,83.4,-1.2,79.4
20230207_071501,-4.7,86.7,-1.3,79.5
20230207_073001,-4.7,86.9,-1.3,79.5
20230207_074501,-5.0,85.2,-1.5,77.6
20230207_080002,-5.0,86.6,-1.5,78.4
20230207_081501,-5.0,85.3,-1.5,78.8
20230207_083001,-5.4,82.3,-1.5,78.3
20230207_084502,-5.4,82.2,-1.6,78.3
20230207_090001,-5.2,80.5,-1.6,78.0
20230207_091501,-4.9,79.5,-1.6,78.3
20230207_093002,-4.6,77.2,-1.6,78.1
20230207_094501,-4.4,77.9,-1.5,78.2
20230207_100001,-3.6,75.7,-1.6,78.5
20230207_101502,-1.7,69.1,-1.2,76.8
20230207_103001,-0.3,63.6,-0.8,74.9
20230207_104501,0.0,62.8,-0.5,74.1
20230207_110002,0.3,61.1,-0.3,74.4
20230207_111501,0.8,60.2,-0.2,74.8
20230207_113001,0.2,62.5,-0.1,74.3
20230207_114502,0.2,63.0,-0.1,75.1
20230207_120001,0.6,61.2,-0.1,75.7
20230207_121501,0.1,62.9,0.0,75.4
20230207_123002,-0.3,62.7,0.0,73.1
20230207_124501,-0.3,63.3,-0.1,71.8
20230207_130001,-0.3,62.1,-0.1,72.3
20230207_131502,-0.1,59.0,-0.1,70.2
20230207_133001,0.0,57.4,-0.1,68.9
20230207_134501,0.0,56.4,0.0,68.3
20230207_140002,0.0,55.1,0.0,66.7
20230207_141501,0.1,53.9,0.0,65.4
20230207_143001,0.1,53.1,0.0,66.0
20230207_144502,0.1,53.1,0.0,67.5
20230207_150001,0.2,50.4,0.1,67.6
20230207_151501,0.2,54.8,0.1,67.8
20230207_153002,0.0,52.9,0.2,66.4
20230207_154501,0.0,52.3,0.2,66.1
20230207_160001,-0.1,53.6,0.2,70.0
20230207_161502,-0.1,48.4,0.2,66.8
20230207_163001,-0.2,51.7,0.2,67.9
20230207_164501,-0.4,56.6,0.2,69.8
20230207_170001,-0.5,58.8,0.2,70.5
20230207_171501,-0.7,57.1,0.1,71.2
20230207_173001,-0.9,56.2,0.1,71.1
20230207_174501,-1.1,56.2,0.0,71.7
20230207_180001,-1.2,57.1,0.0,72.1
20230207_181501,-1.3,62.3,0.0,72.4
20230207_183001,-1.5,61.9,0.0,73.0
20230207_184501,-1.6,60.4,-0.1,70.2
20230207_190001,-1.8,61.9,-0.1,71.9
20230207_191501,-1.9,62.7,-0.1,72.3
20230207_193001,-2.1,62.9,-0.1,72.9
20230207_194501,-2.1,67.6,-0.2,73.3
20230207_200001,-2.2,69.8,-0.2,73.8
20230207_201501,-2.4,70.9,-0.2,74.0
20230207_203001,-2.5,71.4,-0.3,74.1
20230207_204501,-2.6,70.5,-0.3,74.2
20230207_210002,-2.7,72.3,-0.4,74.0
20230207_211501,-2.9,65.7,-0.5,74.0
20230207_213001,-3.0,62.0,-0.6,73.3
20230207_214502,-3.1,63.5,-0.6,73.0
20230207_220001,-3.2,72.1,-0.7,73.6
20230207_221501,-3.2,73.9,-0.7,74.0
20230207_223002,-3.4,74.2,-0.7,74.2
20230207_224501,-3.5,75.6,-0.8,74.4
20230207_230001,-3.6,76.5,-0.9,74.7
20230207_231502,-3.7,76.9,-0.9,74.7
20230207_233001,-3.8,77.5,-1.0,74.8
20230207_234501,-4.0,76.5,-1.1,74.7
