datetime,temp23,humi23,temp24,humi24
20230330_000001,9.6,72.0,9.3,75.5
20230330_001501,9.6,74.6,9.3,75.6
20230330_003001,9.5,76.4,9.3,75.6
20230330_004501,9.5,76.5,9.2,75.7
20230330_010001,9.4,76.5,9.2,76.4
20230330_011502,9.4,76.3,9.2,76.4
20230330_013001,9.4,75.9,9.2,76.1
20230330_014501,9.4,75.7,9.2,76.0
20230330_020001,9.4,75.2,9.2,76.0
20230330_021501,9.2,75.3,9.2,76.0
20230330_023001,9.2,75.0,9.2,76.0
20230330_024501,9.2,74.5,9.1,76.0
20230330_030001,9.2,75.0,9.1,76.2
20230330_031501,9.0,75.5,9.1,76.2
20230330_033001,9.0,75.7,9.0,76.2
20230330_034501,8.9,74.4,9.0,76.2
20230330_040001,9.0,74.1,9.0,76.4
20230330_041501,9.0,74.2,9.0,76.5
20230330_043001,9.0,74.4,9.0,76.5
20230330_044501,9.0,74.5,9.0,76.7
20230330_050001,9.0,76.0,9.0,76.8
20230330_051501,9.1,78.7,9.0,77.2
20230330_053001,9.2,82.1,9.0,77.9
20230330_054501,9.2,83.7,9.0,78.8
20230330_060001,9.2,84.6,9.0,79.0
20230330_061501,9.1,85.5,9.0,79.6
20230330_063001,9.0,86.5,9.0,80.3
20230330_064502,9.0,86.3,9.0,80.8
20230330_070001,9.1,83.6,9.0,82.1
20230330_071501,9.2,82.8,9.1,84.2
20230330_073002,9.2,84.8,9.2,84.8
20230330_074501,9.4,90.2,9.3,95.8
20230330_080001,9.4,90.3,9.2,87.7
20230330_081502,9.4,91.9,9.2,86.2
20230330_083001,9.6,92.2,9.2,86.1
20230330_084501,10.0,92.3,9.2,88.8
20230330_090002,10.0,92.0,9.4,89.0
20230330_091501,10.1,91.1,9.4,89.3
20230330_093001,10.3,90.8,9.4,90.0
20230330_094502,11.7,85.8,9.6,90.0
20230330_100001,11.3,85.5,9.8,89.3
20230330_101501,11.1,85.9,9.8,89.7
20230330_103001,11.1,86.5,9.9,90.0
20230330_104501,11.6,84.5,10.0,90.1
20230330_110001,11.8,83.4,10.1,88.8
20230330_111502,11.8,83.7,10.1,88.1
20230330_113001,13.0,77.9,10.3,87.6
20230330_114501,13.8,77.6,10.5,87.3
20230330_120001,13.9,75.7,10.7,86.9
20230330_121501,13.1,74.7,10.9,86.8
20230330_123001,14.0,71.4,11.1,86.3
20230330_124501,13.7,71.6,11.4,85.7
20230330_130001,13.4,73.6,11.5,84.8
20230330_131501,13.2,74.9,11.6,85.4
20230330_133001,13.2,75.7,11.6,85.7
20230330_134501,13.1,75.6,11.7,85.6
20230330_140001,12.8,75.3,11.7,84.8
20230330_141502,12.5,76.7,11.6,84.7
20230330_143001,12.3,77.7,11.5,85.0
20230330_144501,12.1,78.5,11.4,85.1
20230330_150001,12.1,78.1,11.3,86.7
20230330_151501,11.9,78.5,11.3,85.7
20230330_153001,11.8,78.5,11.3,85.5
20230330_154501,11.7,78.8,11.1,85.4
20230330_160001,11.5,79.3,11.1,85.5
20230330_161501,11.5,79.4,11.1,85.5
20230330_163001,11.4,80.0,11.1,85.7
20230330_164501,11.4,78.9,11.0,86.0
20230330_170001,11.5,78.9,11.0,88.1
20230330_171502,11.7,77.9,11.0,87.2
20230330_173001,11.5,78.7,11.1,86.9
20230330_174501,11.4,78.3,11.1,86.5
20230330_180001,11.5,77.8,11.1,86.1
20230330_181501,11.5,77.1,11.1,85.1
20230330_183001,11.8,75.9,11.3,84.6
20230330_184501,11.9,75.1,11.4,83.6
20230330_190001,11.8,74.5,11.5,82.6
20230330_191501,11.7,75.3,11.3,82.6
20230330_193001,11.5,75.5,11.2,82.7
20230330_194501,11.5,74.7,11.1,82.6
20230330_200001,11.4,75.0,11.1,82.4
20230330_201501,11.1,75.3,11.0,82.4
20230330_203001,11.0,75.7,11.0,82.6
20230330_204501,10.8,74.7,10.9,81.8
20230330_210001,10.7,74.2,10.8,80.7
20230330_211501,10.5,74.4,10.8,80.1
20230330_213001,10.3,74.7,10.7,80.2
20230330_214501,10.2,74.7,10.7,80.1
20230330_220001,10.0,75.2,10.6,79.8
20230330_221501,10.0,75.5,10.5,79.7
20230330_223001,9.8,75.8,10.5,80.5
20230330_224501,9.7,76.4,10.4,81.1
20230330_230001,9.6,76.6,10.4,81.2
20230330_231501,9.4,76.9,10.3,81.3
20230330_233002,9.3,76.8,10.3,81.5
20230330_234501,9.2,77.2,10.2,81.6
