datetime,temp23,humi23,temp24,humi24
20230118_000002,0.4,78.1,2.2,78.7
20230118_001501,0.3,77.5,2.1,78.8
20230118_003001,0.2,78.0,2.1,79.0
20230118_004502,0.0,78.5,2.1,79.2
20230118_010001,0.0,78.7,2.0,79.2
20230118_011501,-0.1,79.1,1.9,79.3
20230118_013002,-0.1,79.4,1.9,79.3
20230118_014501,-0.2,79.7,1.9,79.2
20230118_020001,-0.3,80.0,1.8,79.5
20230118_021502,-0.4,80.3,1.8,79.6
20230118_023001,-0.5,80.7,1.7,79.3
20230118_024501,-0.6,80.9,1.7,79.4
20230118_030002,-0.7,81.1,1.6,79.5
20230118_031501,-0.7,81.3,1.6,79.6
20230118_033001,-0.8,81.3,1.5,79.6
20230118_034501,-0.9,81.2,1.4,79.7
20230118_040001,-1.0,81.3,1.4,79.9
20230118_041501,-1.0,81.3,1.4,79.9
20230118_043001,-1.1,81.5,1.3,79.9
20230118_044501,-1.1,82.1,1.4,80.0
20230118_050001,-1.1,82.5,1.2,79.8
20230118_051501,-1.0,82.0,1.2,80.0
20230118_053001,-1.0,81.7,1.3,79.8
20230118_054501,-1.1,81.4,1.2,80.0
20230118_060001,-1.1,81.9,1.2,80.0
20230118_061501,-1.1,82.0,1.2,80.0
20230118_063001,-1.0,83.2,1.1,79.8
20230118_064501,-0.7,82.2,1.1,79.4
20230118_070002,-0.7,81.4,1.2,79.0
20230118_071501,-0.7,81.9,1.2,79.0
20230118_073001,-0.7,81.8,1.2,78.9
20230118_074502,-0.6,81.4,1.2,78.8
20230118_080001,-0.6,81.2,1.2,78.7
20230118_081501,-0.6,81.3,1.2,78.7
20230118_083002,-0.5,80.5,1.2,78.7
20230118_084501,-0.5,81.0,1.2,78.5
20230118_090001,-0.3,79.8,1.2,78.4
20230118_091502,-0.1,79.1,1.2,78.4
20230118_093001,0.0,78.7,1.4,78.1
20230118_094501,0.0,78.4,1.4,78.2
20230118_100002,0.2,77.9,1.4,78.1
20230118_101501,0.5,76.9,1.5,78.1
20230118_103001,2.5,69.9,1.6,77.8
20230118_104501,2.0,70.9,1.8,77.1
20230118_110001,2.2,70.2,1.9,77.0
20230118_111501,1.7,73.0,2.0,77.1
20230118_113001,1.5,73.4,2.0,77.1
20230118_114501,1.5,73.2,2.0,77.2
20230118_120001,1.7,73.3,2.0,77.3
20230118_121501,1.8,73.1,2.0,77.4
20230118_123001,1.7,71.9,2.1,76.6
20230118_124501,1.8,72.3,2.1,76.4
20230118_130001,1.9,72.7,2.2,76.7
20230118_131501,1.8,72.8,2.2,76.9
20230118_133001,1.9,71.0,2.2,76.2
20230118_134501,2.0,71.3,2.2,75.8
20230118_140001,1.8,72.2,2.3,75.7
20230118_141501,1.7,72.5,2.2,75.4
20230118_143001,1.6,72.0,2.1,75.5
20230118_144501,1.5,71.1,2.1,74.7
20230118_150001,1.4,72.0,2.1,74.8
20230118_151501,1.4,72.1,2.1,74.9
20230118_153001,1.4,72.9,2.0,75.0
20230118_154501,1.4,72.9,2.1,74.9
20230118_160001,1.3,72.5,2.0,74.8
20230118_161501,1.1,72.3,2.0,75.0
20230118_163001,1.1,73.2,2.0,75.0
20230118_164501,1.0,72.9,2.0,75.3
20230118_170001,1.0,72.6,2.0,74.8
20230118_171501,0.9,73.4,1.9,75.3
20230118_173001,0.8,73.2,1.9,74.7
20230118_174501,0.8,72.8,1.8,74.4
20230118_180001,0.8,72.1,1.8,74.0
20230118_181501,0.8,71.5,1.8,73.2
20230118_183002,0.8,71.9,1.8,73.2
20230118_184501,0.8,72.4,1.8,73.4
20230118_190001,0.8,72.4,1.8,73.3
20230118_191502,0.6,72.2,1.8,73.8
20230118_193001,0.7,72.6,1.8,73.6
20230118_194501,0.6,72.7,1.8,74.0
20230118_200002,0.6,73.3,1.7,74.1
20230118_201501,0.6,72.9,1.7,74.0
20230118_203001,0.5,72.2,1.7,73.6
20230118_204502,0.4,72.8,1.7,73.9
20230118_210001,0.5,72.2,1.6,73.7
20230118_211501,0.4,73.4,1.6,74.0
20230118_213002,0.4,73.7,1.6,74.4
20230118_214501,0.3,74.0,1.6,74.6
20230118_220001,0.3,73.8,1.5,74.9
20230118_221502,0.2,74.6,1.6,75.2
20230118_223001,0.2,74.8,1.5,75.4
20230118_224501,0.0,75.6,1.5,75.8
20230118_230002,0.0,76.1,1.4,76.2
20230118_231501,0.0,76.9,1.4,76.6
20230118_233001,0.0,77.0,1.4,76.9
20230118_234501,-0.1,77.5,1.4,77.2
