datetime,temp23,humi23,temp24,humi24
20230109_000001,4.1,79.8,4.8,86.8
20230109_001502,4.1,80.4,4.7,87.6
20230109_003001,4.0,81.4,4.7,87.9
20230109_004501,3.9,81.6,4.7,88.0
20230109_010002,3.9,81.8,4.7,88.0
20230109_011501,3.9,82.3,4.7,88.1
20230109_013001,3.9,83.1,4.7,88.2
20230109_014502,3.8,83.0,4.7,88.1
20230109_020001,3.7,82.8,4.7,88.2
20230109_021501,3.7,83.2,4.7,88.2
20230109_023002,3.7,82.8,4.7,88.5
20230109_024501,3.7,83.2,4.7,88.5
20230109_030001,3.7,83.1,4.7,88.5
20230109_031502,3.7,83.0,4.7,88.6
20230109_033001,3.7,83.6,4.7,88.7
20230109_034501,3.6,83.7,4.7,88.7
20230109_040002,3.6,83.8,4.7,88.9
20230109_041501,3.6,83.9,4.7,88.9
20230109_043001,3.7,84.5,4.7,88.9
20230109_044501,3.7,84.5,4.7,89.0
20230109_050001,3.7,85.4,4.7,89.0
20230109_051501,3.7,85.3,4.7,89.0
20230109_053001,3.6,84.8,4.7,89.1
20230109_054501,3.8,85.2,4.7,89.2
20230109_060001,4.0,85.4,4.7,89.5
20230109_061501,4.2,85.8,4.8,90.4
20230109_063002,4.4,84.8,4.9,90.6
20230109_064501,4.5,84.7,5.0,90.7
20230109_070001,4.5,85.0,5.0,90.6
20230109_071501,4.6,84.2,5.1,90.0
20230109_073001,4.6,83.7,5.1,89.6
20230109_074501,4.7,82.8,5.1,87.7
20230109_080002,4.7,80.5,5.3,85.6
20230109_081501,4.7,81.0,5.1,86.2
20230109_083001,4.7,81.8,5.2,86.3
20230109_084502,4.7,81.1,5.2,86.2
20230109_090001,4.7,81.5,5.1,86.2
20230109_091501,4.6,82.5,5.1,87.4
20230109_093002,4.5,83.3,5.0,88.0
20230109_094501,4.4,83.7,5.0,88.3
20230109_100001,4.5,83.7,5.0,88.5
20230109_101502,4.7,81.7,5.0,87.7
20230109_103001,4.7,80.0,5.0,86.1
20230109_104501,4.7,77.6,5.0,85.5
20230109_110002,4.7,76.7,5.0,83.6
20230109_111501,4.7,77.1,5.0,83.2
20230109_113001,4.9,77.1,5.1,83.6
20230109_114502,4.9,77.3,5.0,83.3
20230109_120001,5.0,76.0,5.1,82.3
20230109_121501,5.0,75.8,5.1,82.3
20230109_123002,5.1,73.8,5.1,82.4
20230109_124501,5.1,75.5,5.1,81.2
20230109_130001,5.2,72.5,5.2,80.3
20230109_131502,5.3,73.0,5.2,79.9
20230109_133001,5.5,72.1,5.3,79.7
20230109_134501,5.4,72.4,5.3,78.6
20230109_140001,5.5,68.8,5.3,78.1
20230109_141501,5.5,72.1,5.3,77.7
20230109_143001,5.6,71.2,5.4,77.8
20230109_144501,5.5,70.0,5.5,77.5
20230109_150001,5.5,70.6,5.5,77.6
20230109_151501,5.6,69.7,5.5,77.3
20230109_153001,5.6,71.4,5.5,78.0
20230109_154501,5.5,72.6,5.4,78.1
20230109_160001,5.5,71.0,5.5,78.3
20230109_161501,5.5,71.6,5.5,78.3
20230109_163001,5.5,72.0,5.5,78.0
20230109_164501,5.3,74.8,5.5,79.8
20230109_170001,5.3,74.2,5.4,80.9
20230109_171501,5.3,73.9,5.4,80.1
20230109_173001,5.3,73.8,5.4,79.6
20230109_174501,5.2,73.7,5.4,79.7
20230109_180001,5.1,73.9,5.4,80.1
20230109_181501,5.0,73.4,5.3,78.3
20230109_183001,5.0,74.3,5.3,80.2
20230109_184501,5.0,74.1,5.3,80.0
20230109_190001,4.9,74.9,5.3,80.0
20230109_191501,4.7,75.6,5.3,80.1
20230109_193002,4.6,75.7,5.2,80.0
20230109_194501,4.5,75.3,5.1,79.7
20230109_200001,4.4,75.5,5.1,79.6
20230109_201501,4.3,76.2,5.0,80.1
20230109_203001,4.2,76.6,5.0,80.3
20230109_204501,4.2,76.6,5.0,80.3
20230109_210001,4.1,76.5,4.9,80.7
20230109_211501,4.0,77.4,4.9,80.9
20230109_213001,3.9,77.9,4.9,80.9
20230109_214502,3.8,77.9,4.8,81.2
20230109_220001,3.7,78.1,4.7,81.2
20230109_221501,3.6,78.4,4.7,81.7
20230109_223002,3.6,78.9,4.7,81.6
20230109_224501,3.6,78.8,4.6,81.7
20230109_230001,3.5,79.7,4.7,82.1
20230109_231502,3.6,80.0,4.6,82.4
20230109_233001,3.5,80.0,4.5,82.7
20230109_234501,3.5,80.3,4.5,83.0
