datetime,temp23,humi23,temp24,humi24
20230210_000001,-3.2,78.7,-1.1,77.8
20230210_001501,-3.2,78.8,-1.1,77.8
20230210_003001,-3.4,79.1,-1.2,78.0
20230210_004501,-3.5,79.1,-1.3,78.0
20230210_010001,-3.6,79.4,-1.3,78.1
20230210_011501,-3.6,79.4,-1.4,78.0
20230210_013001,-3.8,79.7,-1.5,78.0
20230210_014502,-3.9,80.0,-1.5,78.1
20230210_020001,-4.0,80.0,-1.6,78.3
20230210_021501,-4.1,80.1,-1.6,78.4
20230210_023002,-4.2,80.5,-1.7,78.3
20230210_024501,-4.3,80.4,-1.8,78.4
20230210_030001,-4.4,80.8,-1.8,78.4
20230210_031502,-4.5,81.1,-1.9,78.6
20230210_033001,-4.6,81.2,-2.0,78.5
20230210_034501,-4.6,81.5,-2.1,78.6
20230210_040002,-4.8,81.9,-2.1,78.3
20230210_041501,-4.9,81.7,-2.1,78.4
20230210_043001,-4.9,81.9,-2.2,78.5
20230210_044502,-5.0,81.9,-2.3,78.7
20230210_050001,-5.1,81.9,-2.3,78.5
20230210_051501,-5.2,81.6,-2.3,78.7
20230210_053001,-5.2,81.9,-2.4,78.7
20230210_054501,-5.2,81.7,-2.5,79.0
20230210_060001,-5.4,82.2,-2.5,79.0
20230210_061501,-5.4,82.6,-2.5,79.0
20230210_063001,-5.5,82.9,-2.6,78.9
20230210_064501,-5.6,82.9,-2.6,78.8
20230210_070001,-5.7,83.0,-2.7,78.7
20230210_071501,-5.7,83.2,-2.8,78.9
20230210_073001,-5.7,82.6,-2.8,78.9
20230210_074501,-5.8,82.7,-2.9,79.2
20230210_080002,-5.8,82.3,-3.0,78.3
20230210_081501,-5.8,82.2,-3.0,78.7
20230210_083001,-5.7,81.7,-2.9,79.0
20230210_084502,-5.6,80.7,-3.0,79.3
20230210_090001,-5.2,79.7,-3.0,79.4
20230210_091501,-4.8,80.6,-2.9,79.3
20230210_093002,-4.0,80.4,-2.9,79.3
20230210_094501,-4.1,78.6,-2.8,79.1
20230210_100001,-3.4,77.2,-2.6,78.9
20230210_101502,-1.6,72.5,-2.3,78.5
20230210_103001,1.2,63.7,-1.9,77.6
20230210_104501,2.0,60.3,-1.6,77.2
20230210_110002,2.6,59.4,-1.5,77.0
20230210_111501,2.6,59.4,-1.3,76.7
20230210_113001,3.1,59.3,-1.1,76.7
20230210_114502,3.2,59.1,-0.9,76.6
20230210_120001,3.0,59.9,-0.7,76.9
20230210_121501,2.7,60.7,-0.6,77.3
20230210_123002,2.3,62.2,-0.6,77.8
20230210_124501,2.3,64.6,-0.6,78.2
20230210_130001,2.1,63.2,-0.5,78.0
20230210_131502,2.2,64.7,-0.4,77.9
20230210_133001,2.3,62.7,-0.3,77.9
20230210_134501,2.2,62.4,-0.2,77.9
20230210_140002,2.4,61.8,-0.1,77.6
20230210_141501,2.4,64.3,-0.1,77.3
20230210_143001,2.4,60.4,0.0,77.1
20230210_144502,2.4,62.3,0.0,76.5
20230210_150001,2.4,63.6,0.2,76.5
20230210_151501,2.2,63.0,0.3,76.2
20230210_153002,2.3,61.5,0.3,76.3
20230210_154501,2.3,64.2,0.4,76.6
20230210_160001,2.2,65.3,0.7,75.3
20230210_161502,2.1,64.8,0.5,76.5
20230210_163001,1.9,64.6,0.5,76.6
20230210_164501,1.9,64.8,0.5,76.6
20230210_170002,1.7,67.2,0.5,76.9
20230210_171501,1.5,65.4,0.5,77.0
20230210_173001,1.4,64.7,0.4,77.3
20230210_174502,1.0,66.3,0.4,77.5
20230210_180001,0.7,67.8,0.3,78.0
20230210_181501,0.5,70.2,0.2,78.2
20230210_183002,0.4,72.0,0.2,77.1
20230210_184501,0.1,73.4,0.2,77.6
20230210_190001,0.0,74.1,0.2,77.7
20230210_191502,-0.2,74.3,0.1,77.9
20230210_193001,-0.4,74.6,0.0,78.1
20230210_194501,-0.5,75.0,0.0,78.0
20230210_200002,-0.6,75.1,0.0,78.2
20230210_201501,-0.8,75.3,0.0,78.3
20230210_203001,-0.9,75.4,-0.1,78.4
20230210_204502,-1.1,76.0,-0.1,78.5
20230210_210001,-1.1,76.1,-0.1,78.6
20230210_211501,-1.3,76.5,-0.1,78.7
20230210_213002,-1.3,76.6,-0.2,78.7
20230210_214501,-1.5,77.0,-0.3,78.8
20230210_220001,-1.6,77.4,-0.3,78.8
20230210_221502,-1.6,77.7,-0.3,78.8
20230210_223001,-1.7,77.7,-0.3,78.7
20230210_224501,-1.7,78.1,-0.4,78.7
20230210_230002,-1.7,78.2,-0.4,78.8
20230210_231501,-1.8,78.0,-0.4,78.8
20230210_233001,-1.8,78.0,-0.5,78.9
20230210_234501,-1.9,78.0,-0.5,79.0
