datetime,temp23,humi23,temp24,humi24
20230225_000001,5.8,83.7,7.0,87.9
20230225_001501,5.6,84.9,7.0,87.8
20230225_003001,5.6,85.0,6.9,87.9
20230225_004501,5.2,84.6,6.8,87.6
20230225_010001,4.9,85.5,6.7,87.4
20230225_011501,4.5,86.0,6.6,87.7
20230225_013001,4.5,87.1,6.6,87.9
20230225_014501,4.4,87.8,6.4,88.0
20230225_020001,4.3,87.2,6.3,87.5
20230225_021501,4.2,87.5,6.2,87.1
20230225_023001,3.9,88.2,6.1,86.9
20230225_024501,3.7,87.5,6.0,87.1
20230225_030002,3.5,88.5,5.9,87.1
20230225_031501,3.3,88.6,5.8,87.0
20230225_033001,3.3,88.9,5.7,86.8
20230225_034502,3.2,88.8,5.6,86.5
20230225_040001,3.1,88.8,5.5,86.2
20230225_041501,3.0,88.6,5.4,86.0
20230225_043002,3.0,88.5,5.3,85.8
20230225_044501,2.8,87.8,5.2,86.0
20230225_050001,2.7,88.4,5.1,85.8
20230225_051502,2.7,88.7,5.0,86.2
20230225_053001,2.7,88.4,4.9,85.8
20230225_054501,2.5,87.8,4.8,86.0
20230225_060002,2.4,87.8,4.7,85.8
20230225_061501,2.4,87.8,4.7,86.0
20230225_063001,2.3,88.5,4.6,86.1
20230225_064501,2.4,88.2,4.5,86.0
20230225_070001,2.3,88.0,4.5,86.3
20230225_071501,2.3,88.1,4.4,86.4
20230225_073001,2.2,87.7,4.4,86.6
20230225_074501,2.2,88.0,4.4,86.7
20230225_080001,2.2,87.3,4.3,86.8
20230225_081501,2.2,87.6,4.3,86.7
20230225_083001,2.1,87.6,4.2,86.8
20230225_084501,2.2,87.7,4.2,86.7
20230225_090001,2.2,86.8,4.2,86.9
20230225_091501,2.3,87.1,4.2,87.1
20230225_093001,2.4,86.4,4.1,87.1
20230225_094501,2.6,85.1,4.2,86.4
20230225_100002,2.8,84.8,4.2,85.0
20230225_101501,2.8,83.5,4.3,84.5
20230225_103001,2.8,83.0,4.3,84.3
20230225_104502,2.8,81.9,4.3,84.8
20230225_110001,3.0,79.3,4.3,84.1
20230225_111501,3.1,82.4,4.3,83.4
20230225_113002,3.7,73.0,4.4,82.3
20230225_114501,3.5,77.6,4.4,81.0
20230225_120001,3.5,74.0,4.1,74.1
20230225_121502,3.4,67.3,3.7,67.9
20230225_123001,3.5,66.2,3.6,67.8
20230225_124501,3.5,65.6,3.7,67.4
20230225_130002,3.6,62.3,3.8,65.7
20230225_131501,3.7,64.5,3.8,66.8
20230225_133001,4.2,61.5,4.5,64.0
20230225_134502,4.2,59.9,4.5,70.6
20230225_140001,4.2,62.4,4.5,69.7
20230225_141501,4.3,63.3,4.5,69.6
20230225_143002,4.5,64.8,4.5,70.9
20230225_144501,4.9,61.9,4.7,72.8
20230225_150001,4.7,63.6,4.7,69.9
20230225_151502,4.6,62.0,4.7,69.3
20230225_153001,4.5,63.7,4.7,69.2
20230225_154501,4.4,64.5,4.7,68.6
20230225_160002,4.3,60.9,4.7,70.7
20230225_161501,4.3,66.1,4.7,69.9
20230225_163001,4.3,65.7,4.7,69.7
20230225_164501,4.2,65.7,4.7,70.1
20230225_170001,4.1,66.2,4.7,70.4
20230225_171501,4.1,65.9,4.7,69.4
20230225_173001,4.0,66.4,4.7,70.0
20230225_174501,3.9,64.9,4.7,70.6
20230225_180001,3.9,65.7,4.6,70.5
20230225_181501,3.7,65.5,4.5,70.6
20230225_183002,3.7,68.2,4.5,70.4
20230225_184501,3.5,68.1,4.5,71.5
20230225_190001,3.2,70.4,4.5,72.5
20230225_191501,2.7,74.2,4.4,74.8
20230225_193001,2.4,76.1,4.4,75.9
20230225_194501,2.4,75.8,4.3,76.7
20230225_200002,2.3,76.4,4.2,77.3
20230225_201501,2.2,77.5,4.2,78.0
20230225_203001,2.1,77.2,4.1,78.5
20230225_204502,2.0,78.1,4.0,79.0
20230225_210001,1.9,78.9,4.0,79.1
20230225_211501,1.7,79.6,3.9,79.4
20230225_213002,1.7,79.6,3.9,79.6
20230225_214501,1.6,80.0,3.8,79.9
20230225_220001,1.4,81.6,3.7,79.9
20230225_221502,1.2,80.8,3.6,80.0
20230225_223001,1.2,81.3,3.6,80.3
20230225_224501,1.1,81.7,3.6,80.5
20230225_230002,1.0,81.8,3.5,80.6
20230225_231501,1.0,82.3,3.5,81.0
20230225_233001,0.8,82.4,3.4,80.9
20230225_234502,0.8,81.7,3.3,81.2
